PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:06:33.76,1,1,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.17112,-2.839495,-1.689062,2013.843825,226.066174,1:30,6.31571,1.22481,5.541,-18.40631,17.01387,16.29977,2.12447,1.00391,81.3101,-6.320111,1.217706,0.428348,,,,,,,,,,,,-8.74552,9.87725,-1.08927,50,6.05725,3.10751,-130.52822,-7.0606,-14.85497,31.4344,-15.39667,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,5c12c460-255f-11f0-a8e8-476b199fc8fa,87.99488,,,8.86101,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:06:33.76,2025-04-29T18:06:33.7617920-07:00,2025-04-30T01:06:33.7617920Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,2f25be46-8aea-444c-91b4-f12aaa414b67,54.96019,-131.71733,15.7172,6.31332,-6.47817,-7.69833,-1.21745,3.66946,-7.42749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:06:49.63,1,2,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.48334,0.263584,-3.824484,1543.567557,297.853766,4:00,5.80436,1.62891,5.48462,-51.43711,-5.5615,13.74257,1.76511,-0.80968,71.8184,-9.128389,-1.378112,0.487486,,,,,,,,,,,,-8.29075,-2.51925,-1.30281,50,5.7922,7.15184,-115.02414,-1.22273,-10.88024,25.40379,-35.48014,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,6588a460-255f-11f0-a8e8-476b199fc8fa,77.31998,,,7.66494,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:06:49.63,2025-04-29T18:06:49.6348672-07:00,2025-04-30T01:06:49.6348672Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,17ecedd9-c91a-484d-b636-b983d78b389a,55.02053,-116.12766,12.7019,5.81184,0.3185,-17.74007,-1.62374,7.62447,-5.44012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-29,18:07:08.85,1,3,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71133,-0.650267,-3.093455,1637.101931,284.644157,3:30,5.79312,1.39021,5.38359,-47.98215,-2.72878,16.31328,1.18411,-0.1531,72.84786,-9.374933,-0.18978,0.484169,,,,,,,,,,,,-9.23292,-0.82299,-1.12536,50,5.7005,5.6045,-115.54298,-2.96562,-12.36341,23.42934,-33.27608,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,71021c90-255f-11f0-a8e8-476b199fc8fa,77.84977,,,6.86348,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:07:08.85,2025-04-29T18:07:08.8529920-07:00,2025-04-30T01:07:08.8529920Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,01a96ebc-f26d-4328-826d-f975a7559f6f,55.12264,-116.5771,11.71467,5.79898,-1.49689,-16.63804,-1.38478,6.15019,-6.1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,18:07:31.27,1,4,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.02695,-2.93718,-3.513792,2233.055836,222.603713,1:30,6.40121,0.92859,5.6445,-17.84359,17.22706,14.75776,2.16663,-1.12368,82.04013,-6.302132,-0.882794,0.426229,,,,,,,,,,,,-8.6926,10.00524,-0.64001,50,6.14005,7.39254,-130.37581,-7.27452,-14.89288,28.58971,-15.03225,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,7e409d50-255f-11f0-a8e8-476b199fc8fa,88.43231,,,7.98682,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:07:31.27,2025-04-29T18:07:31.2720384-07:00,2025-04-30T01:07:31.2720384Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,a31d97b6-0b2d-4a57-b6de-d26d04e07ea0,54.86209,-131.43767,14.29486,6.39986,-6.7162,-7.51613,-0.92486,7.94569,-7.44644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,18:08:17.35,1,5,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.71831,1.086124,-0.438569,2432.031289,62.480592,8:00,5.74272,1.89085,5.14703,-50.0868,-2.76189,-8.70292,2.59163,0.75265,70.89368,-8.047723,-1.981042,0.495126,62.17684,45.568248,-139.785317,5001.075929,,,,,36.96749,,,4.19642,-1.28122,-1.84267,50,5.80585,1.2292,-114.00313,0.39393,5.39952,25.31572,-33.8226,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,99f69400-255f-11f0-a8e8-476b199fc8fa,76.12689,31.28636,,7.82463,,,,1.58803,2.44015,-0.46358,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:08:17.35,2025-04-29T18:08:17.3540352-07:00,2025-04-30T01:08:17.3540352Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,611ad91b-91e3-4c48-93d4-86c500c6f464,55.35571,-115.18629,12.65786,5.7505,1.97467,-16.9113,-1.89422,0.97685,2.69976,,1.58803,-48.75031,-1.4757,3.06617,-1.13589,0.35772,-0.09662,0.02451,-0.00385,2.44015,65.11921,-34.08038,5.7946,-1.31176,0.26774,-0.05156,0.00899,-0.00064,-0.46358,-41.21863,10.78561,-1.72609,0.2562,-0.00466,-0.0082,0.00434,-0.0011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
6,2025-04-29,18:08:41.09,1,6,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,2,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.70449,1.952607,-1.052596,1582.066702,291.971998,3:45,5.8045,1.34459,5.32135,-49.49259,-4.41264,14.51225,3.51371,1.56594,72.84373,-7.061499,1.526087,0.48324,,,,,,,,,,,,-7.545,-2.30705,-1.26003,50,5.94568,1.52974,-115.64967,2.18602,-10.1818,22.29149,-35.28734,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,a7f09c90-255f-11f0-a8e8-476b199fc8fa,77.99939,,,6.86076,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:08:41.09,2025-04-29T18:08:41.0972160-07:00,2025-04-30T01:08:41.0972160Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,e402e03a-021a-455a-a3d0-e07d41791b7d,55.18384,-116.64457,11.14574,5.81297,3.76095,-17.64367,-1.33845,1.98418,-5.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-29,18:09:04.10,1,7,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.30763,1.557707,-1.558798,2373.985559,86.148906,8:45,5.79442,1.7914,5.41463,-47.43944,0.84681,-12.51347,3.30145,-0.71218,70.05524,-7.140316,-3.783112,0.50013,,,,,,,,,,,,5.79662,0.40307,-1.64361,50,5.9001,3.53734,-112.03019,1.47824,7.25576,23.08905,-31.6695,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,b5ac63a0-255f-11f0-a8e8-476b199fc8fa,75.36527,,,7.25239,,,,,,,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:09:04.10,2025-04-29T18:09:04.1084928-07:00,2025-04-30T01:09:04.1084928Z,,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,226eaac1-53df-49b5-91af-13581cd3349a,55.08844,-113.07404,11.54452,5.8009,2.91001,-15.83475,-1.79612,3.20931,3.62788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-29,18:09:31.57,1,8,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.41047,0.28211,-1.348924,2358.090841,72.422838,8:30,5.68178,1.78482,5.11691,-51.14365,-2.19583,-12.61717,1.68566,-0.53766,70.04304,-9.010569,-3.583647,0.503545,99.47836,17.288834,51.84993,3451.115221,59.83891,22.1447,92.29912,247.71192,125.84996,66.202428,2.285054,5.87185,-0.75811,-1.64728,50,5.66841,3.14234,-112.12516,-1.21635,7.31366,24.35699,-33.1183,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,c6171e10-255f-11f0-a8e8-476b199fc8fa,74.85419,22.6341,,7.36743,,,,2.86546,2.12305,0.5741,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:09:31.57,2025-04-29T18:09:31.5761152-07:00,2025-04-30T01:09:31.5761152Z,LineDrive,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,978df304-b6b9-4203-8744-9720e182ec0b,55.38699,-113.28934,12.1785,5.68872,0.36658,-16.55915,-1.78912,2.79278,3.65683,,2.86548,86.05321,-26.54782,4.88967,-0.91964,0.06747,0.03218,-0.01295,0.00166,2.12304,43.36074,-27.02916,5.23157,-1.3552,0.36329,-0.08552,0.01564,-0.00147,0.57411,109.55158,-1.53503,-2.71154,1.12137,-0.39227,0.10719,-0.02078,0.00199,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-04-29,18:09:53.93,1,9,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.30321,-2.189283,-1.346981,2202.896837,237.438819,2:00,6.23434,1.29815,5.75087,-23.36174,11.55579,16.13918,2.24769,1.38877,81.70041,-6.558696,1.544155,0.425298,77.42129,16.801763,-68.445458,3280.547655,31.10466,13.34848,-105.51051,170.76742,108.98411,-77.078511,1.827108,-8.62213,6.94453,-1.19611,50,6.03825,2.364,-130.89132,-5.79227,-14.7528,31.16647,-20.29171,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,d3463580-255f-11f0-a8e8-476b199fc8fa,88.62599,14.49918,,8.6028,,,,0.00832,1.68637,-2.04931,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:09:53.93,2025-04-29T18:09:53.9351552-07:00,2025-04-30T01:09:53.9351552Z,LineDrive,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,98a1627d-3977-4d5d-a84f-852f4c149bfa,54.75108,-132.01775,15.58324,6.23434,-5.05888,-10.14586,-1.29118,2.8972,-7.3764,,0.00842,39.92599,-10.57326,-0.62721,1.82277,-2.31673,1.55142,-0.51222,0.06689,1.68636,32.82452,-23.56941,3.65332,-0.74425,0.20932,-0.00694,-0.02487,0.0058,-2.04936,-101.09604,6.5285,0.09087,-0.97363,1.29938,-0.88083,0.29291,-0.03845,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-04-29,18:10:19.36,1,10,"Warady, Tanner",813709,Right,LOY_LIO,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,3,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,77.91866,1.552285,-0.86317,2467.337674,73.185289,8:30,5.80985,1.60266,5.37299,-50.79475,-2.84977,-15.34308,3.03294,-0.48532,70.14956,-7.750388,-3.591112,0.49836,59.64669,-10.924204,34.523072,,,,,18.11561,16.59454,32.209687,0.187936,7.42973,-1.50051,-1.5138,50,5.91315,2.30728,-112.86921,1.34008,9.35902,25.04583,-34.06419,LOY_LIO,UCLA,LoyolaMarymount,D1,WCC,20250429-LoyolaMarymount-1,e298f040-255f-11f0-a8e8-476b199fc8fa,75.63301,3.134,,7.7691,,,,1.94946,3.134,0.45344,7183ca52-137a-47b1-bb77-21d8f095b847,2025-04-30,01:10:19.36,2025-04-29T18:10:19.3687552-07:00,2025-04-30T01:10:19.3687552Z,GroundBall,v3,471343,5048,29 April 2025 21:00-ucla@loyolamary,"Savoie, Nate",832476,Right,LOY_LIO,a42c8056-9818-43d0-8ed8-6fd7a321f571,55.13043,-114.00197,12.52291,5.8177,2.88072,-17.0321,-1.60858,1.88399,4.67951,180,1.9369,71.18511,,,,,,,,3.13695,-16.67595,,,,,,,,0.44481,48.96639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
