PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,17:35:43.37,1,1,"Hall, Hayden",822629,Right,CAL_MAT,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7543,-0.940731,-0.672216,1932.706272,179.322874,12:00,5.76604,1.50186,5.52664,-16.2982,19.25434,-0.21563,3.52825,0.85542,81.90908,-4.010377,-0.710651,0.429148,,,,,,,,,,,,-0.05547,10.28197,-1.44326,50,5.67351,1.52294,-129.00181,-2.62595,-0.09454,23.91208,-14.64613,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,0d07c4f0-255b-11f0-9ac6-3f394e13fd16,87.83095,,,6.84522,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:35:43.37,2025-04-29T17:35:43.3730000-07:00,2025-04-30T00:35:43.3730000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,3ad2e5f0-effc-454f-a009-9381604d15ac,54.97366,-129.92047,11.95604,5.76359,-2.06327,-7.32306,-1.50184,1.52657,-0.04727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,17:35:58.07,1,2,"Hall, Hayden",822629,Right,CAL_MAT,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.17505,-1.500547,-1.288743,1897.349625,213.643978,1:00,5.83746,1.16582,5.62158,-20.48363,15.30706,9.53375,2.72948,0.75741,81.76904,-5.308262,0.413943,0.430583,64.71911,-51.231039,33.124648,,,,,4.25329,2.45184,6.495658,0.037844,-5.19248,8.44977,-1.06238,50,5.69628,2.48903,-128.20728,-4.03829,-8.76887,22.87526,-17.90441,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,15e49940-255b-11f0-9ac6-3f394e13fd16,87.53824,2.81437,,6.40601,,,,2.33303,2.81437,-0.754,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:35:58.07,2025-04-29T17:35:58.0750000-07:00,2025-04-30T00:35:58.0750000Z,GroundBall,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,52c0eb49-721c-4a60-88fa-debc52149d2e,54.88092,-129.07521,11.43763,5.83661,-3.35896,-8.95221,-1.16313,2.82174,-4.38443,,2.33155,50.02039,,,,,,,,2.81656,-74.36786,,,,,,,,-0.75496,32.63855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2025-04-29,17:36:35.18,2,1,"Hall, Hayden",822629,Right,CAL_MAT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.48545,2.380666,-1.192873,2440.674993,51.827117,7:45,6.00372,0.84207,5.02268,-58.76861,-7.25347,-11.01591,3.35469,-1.20177,69.21594,-8.193825,-3.138707,0.516581,,,,,,,,,,,,5.17622,-3.7626,-0.71854,50,6.18389,2.67852,-108.18573,2.47027,6.20032,16.98199,-36.68109,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,2bf518e0-255b-11f0-9ac6-3f394e13fd16,72.96514,,,5.26951,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:36:35.18,2025-04-29T17:36:35.1820000-07:00,2025-04-30T00:36:35.1820000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,b2414bdc-3762-4366-8b07-8319da927919,55.48182,-109.04282,8.49099,6.0125,4.32158,-18.34055,-0.84583,2.36559,3.10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,17:36:51.54,2,2,"Hall, Hayden",822629,Right,CAL_MAT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.18446,-2.250749,-2.516716,2069.088955,210.076885,1:00,5.85665,1.17075,5.56995,-19.86946,15.88832,8.65788,2.09527,-0.46019,82.18209,-5.929514,-0.973495,0.430385,,,,,,,,,,,,-4.97827,8.86556,-0.95969,50,5.64932,5.27026,-128.12626,-5.70441,-8.44273,21.45694,-17.13883,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,35c59c00-255b-11f0-9ac6-3f394e13fd16,87.57851,,,6.00237,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:36:51.54,2025-04-29T17:36:51.5460000-07:00,2025-04-30T00:36:51.5460000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,7d26ac65-2d65-495d-a36f-065471132b0e,54.93268,-128.94968,10.72847,5.85561,-5.04671,-8.56942,-1.16816,5.59426,-4.22136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,17:37:09.40,2,3,"Hall, Hayden",822629,Right,CAL_MAT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.24866,-0.279165,-2.769901,2189.084809,148.081551,11:00,5.72347,1.22066,5.52157,-35.29104,4.76063,-2.35839,2.52124,-1.56766,78.02611,-6.69871,-3.18969,0.455493,,,,,,,,,,,,0.60866,2.77158,-0.97778,50,5.67514,5.9505,-121.05063,-1.81729,0.9239,18.52862,-27.96698,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,40537bb0-255b-11f0-9ac6-3f394e13fd16,82.75086,,,5.22255,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:37:09.40,2025-04-29T17:37:09.4050000-07:00,2025-04-30T00:37:09.4050000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,090bcf93-add6-458e-9a83-93a5f8a3ed52,54.98126,-121.8107,9.26431,5.72616,-0.67005,-13.98349,-1.2211,5.9126,0.46195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,17:37:27.81,2,4,"Hall, Hayden",822629,Right,CAL_MAT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.04542,-2.572794,-3.582055,2040.899877,172.667315,11:45,5.87196,1.12898,5.75682,-15.8293,19.39674,-2.3652,2.15163,-2.40686,82.293,-5.55097,-4.003824,0.427173,,,,,,,,,,,,0.32028,10.84993,-0.83011,50,5.64841,8.1818,-129.10241,-6.28201,0.54642,24.15073,-13.66373,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,4b48a8b0-255b-11f0-9ac6-3f394e13fd16,88.23704,,,6.75242,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:37:27.81,2025-04-29T17:37:27.8150000-07:00,2025-04-30T00:37:27.8150000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,b200ee77-5226-46be-ba40-38efe4c91bde,54.74346,-129.98673,12.07536,5.86928,-5.78169,-6.83186,-1.12933,8.16179,0.27321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-29,17:37:48.32,2,5,"Hall, Hayden",822629,Right,CAL_MAT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.36422,-1.593684,-2.306906,1988.798417,169.382571,11:45,5.82259,1.24322,5.84181,-17.79206,17.76473,-3.13851,2.8572,-1.16347,81.5745,-4.940437,-2.868763,0.429173,71.01045,9.674508,10.910089,2266.623797,,,,111.17942,111.17942,15.477588,1.203194,1.04276,9.84256,-1.0533,50,5.68228,5.29811,-128.37344,-4.11724,1.756,24.29885,-15.59912,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,5798f8e0-255b-11f0-9ac6-3f394e13fd16,87.82569,7.29432,,6.78972,,,,2.309,2.87822,1.11539,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:37:48.32,2025-04-29T17:37:48.3260000-07:00,2025-04-30T00:37:48.3260000Z,GroundBall,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,da1c153f-730e-40f9-b3f9-632767d66f7e,54.66012,-129.25251,12.14943,5.82102,-3.55291,-7.79956,-1.24383,5.23458,0.878,267.1246,2.309,100.81165,-13.07511,1.7828,-0.36563,0.06376,-0.01171,0.00209,-0.00021,2.87822,17.50224,-18.01408,1.47417,-0.26172,0.05839,-0.00975,0.00152,-0.00017,1.11539,19.43167,4.34528,-0.79772,0.16041,-0.03032,0.00532,-0.00092,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-29,17:38:27.48,3,1,"Hall, Hayden",822629,Right,CAL_MAT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.2177,-2.450993,-2.629071,1982.736923,210.381521,1:00,5.81635,1.02878,5.6313,-19.5347,16.46068,9.033,1.89774,-0.67325,81.47552,-6.093262,-1.01731,0.431812,,,,,,,,,,,,-5.27138,9.30626,-0.81091,50,5.59496,5.50045,-128.02925,-6.11905,-8.83866,23.90956,-16.57003,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,6ef3abc0-255b-11f0-9ac6-3f394e13fd16,87.28898,,,6.74218,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:38:27.48,2025-04-29T17:38:27.4870000-07:00,2025-04-30T00:38:27.4870000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,5488f971-9222-40ab-9896-a5bc9c0b2aae,54.8703,-128.93557,11.95478,5.81501,-5.49094,-8.28502,-1.02576,5.83549,-4.41933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-29,17:38:45.59,3,2,"Hall, Hayden",822629,Right,CAL_MAT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.43645,-1.652546,-0.565892,1997.589514,213.38221,1:00,5.72667,1.29821,5.49352,-20.72832,14.49871,8.86138,2.45292,1.50727,82.33283,-5.505834,1.013437,0.427179,,,,,,,,,,,,-4.75189,8.11347,-1.25525,50,5.56819,0.91754,-129.96409,-4.46356,-8.16736,25.9837,-18.2289,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,79a73be0-255b-11f0-9ac6-3f394e13fd16,88.23581,,,7.10362,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:38:45.59,2025-04-29T17:38:45.5910000-07:00,2025-04-30T00:38:45.5910000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,9d97b188-80de-4fc2-b402-395a24387c37,55.01036,-130.96198,12.99185,5.72616,-3.76348,-9.11445,-1.29652,1.23121,-4.08368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,17:39:01.69,3,3,"Hall, Hayden",822629,Right,CAL_MAT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.3824,-1.852287,-3.208192,2200.009861,179.201055,12:00,5.75927,1.23381,5.47984,-31.27325,8.36056,-0.10059,1.41667,-1.7796,78.15545,-7.564398,-3.226083,0.453111,,,,,,,,,,,,-0.76118,5.02701,-0.95191,50,5.575,6.8653,-122.40781,-5.04584,-1.16502,22.1833,-24.4801,CAL_MAT,SOU_TRO,Matador Field,D1,BW,20250429-Matador Field-1,835eb8c0-255b-11f0-9ac6-3f394e13fd16,83.18596,,,6.22695,,,,,,,91530cd4-0566-4682-80e0-624190bc4954,2025-04-30,00:39:01.69,2025-04-29T17:39:01.6950000-07:00,2025-04-30T00:39:01.6950000Z,,v3,471256,5047,29 April 2025 21:00-usc@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,0675518f-77e4-4ed6-b1b9-1218eff8de90,55.02177,-123.31452,11.09165,5.76079,-4.04526,-12.24005,-1.23349,6.91292,-0.58251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
