PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:04:30.79,1,1,"Ryerse, Luke",828037,Right,MIN_GOL,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,88.87279,-1.890527,-3.104707,2189.719484,195.243917,12:30,5.802,2.78506,5.7665,-21.473,14.23705,3.56339,2.2499,0.18972,81.16358,-5.90992,-2.467873,0.430097,,,,,,,,,,,,-2.71843,8.15473,-2.5302,50,5.63242,6.83903,-128.83547,-4.95261,-4.55675,27.44191,-18.50477,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,4f431ac0-254e-11f0-bf2b-e57d97979763,87.63703,,,7.70922,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:04:30.79,2025-04-29T18:04:30.7988480-05:00,2025-04-29T23:04:30.7988480Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,bad50cbf-f597-4b66-a64d-8b72d603c1e6,54.73238,-129.83955,13.72096,5.80125,-4.27553,-9.25239,-2.78349,7.00576,-2.27838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:05:07.81,2,1,"Ryerse, Luke",828037,Right,MIN_GOL,"Smith, Dante",10083909,Left,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.22178,-1.408219,-3.405323,2076.789629,210.129953,1:00,5.7478,2.68082,6.10006,-20.10556,15.68654,8.42351,2.76738,0.22967,80.43305,-5.216961,-1.891198,0.430591,,,,,,,,,,,,-5.36697,8.86737,-2.42316,50,5.62873,7.27969,-127.95628,-3.74264,-8.86684,27.26522,-17.52414,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,6542d180-254e-11f0-bf2b-e57d97979763,87.53647,,,7.78874,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:05:07.81,2025-04-29T18:05:07.8128128-05:00,2025-04-29T23:05:07.8128128Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,b5cffb61-409e-4177-86d8-da0a3dbaffc7,54.39924,-128.89027,13.63261,5.74665,-3.14233,-8.76207,-2.67773,7.58343,-4.43342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-29,18:05:38.18,2,2,"Ryerse, Luke",828037,Right,MIN_GOL,"Smith, Dante",10083909,Left,NOR_BIS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.95549,-1.133704,-2.258751,2216.009557,189.308552,12:15,5.81543,2.47672,5.90835,-18.76973,17.63048,2.68571,3.19804,0.60289,79.76689,-4.706908,-1.777144,0.434234,,,,,,,,,,,,-2.04571,9.72048,-2.29684,50,5.71368,4.91636,-127.54425,-3.0675,-3.34322,28.16707,-16.28836,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,776b4180-254e-11f0-bf2b-e57d97979763,86.80223,,,8.1886,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:05:38.18,2025-04-29T18:05:38.1829632-05:00,2025-04-29T23:05:38.1829632Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,13cf7159-064f-4c19-b8a7-4881dd0e3125,54.58709,-128.55328,14.08354,5.81312,-2.484,-8.14418,-2.4751,5.03612,-1.67161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,18:05:59.37,2,3,"Ryerse, Luke",828037,Right,MIN_GOL,"Smith, Dante",10083909,Left,NOR_BIS,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.45564,-0.941424,-5.950471,1706.809594,265.160971,2:45,5.33848,2.9759,6.21473,-40.1562,3.10736,19.18765,1.11856,-0.93633,73.35014,-8.382771,-2.505591,0.473405,,,,,,,,,,,,-11.77627,2.29788,-2.53815,50,5.2475,11.43285,-116.32094,-3.12453,-16.01803,23.29359,-29.04848,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,840d5b30-254e-11f0-bf2b-e57d97979763,79.61991,,,7.1055,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:05:59.37,2025-04-29T18:05:59.3725952-05:00,2025-04-29T23:05:59.3725952Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,e9ee4d78-022f-4396-92d3-6c0e7a121f34,54.28581,-117.17604,11.64679,5.34263,-2.05817,-14.52424,-2.96864,12.02087,-8.00902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,18:06:16.16,2,4,"Ryerse, Luke",828037,Right,MIN_GOL,"Smith, Dante",10083909,Left,NOR_BIS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.57374,-0.623106,-2.857648,2257.471893,198.512756,12:30,5.76098,2.65348,5.85557,-16.92934,18.32521,5.72536,3.77053,0.47331,80.97047,-3.866099,-1.83288,0.427345,,,,,,,,,,,,-3.77921,9.88902,-2.42457,50,5.70052,6.22889,-129.81426,-1.89508,-6.38594,29.65249,-15.46405,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,8e027d50-254e-11f0-bf2b-e57d97979763,88.20134,,,8.60327,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:06:16.16,2025-04-29T18:06:16.1653248-05:00,2025-04-29T23:06:16.1653248Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,223b1537-1db0-4513-87de-533fd15347a1,54.63967,-130.86977,14.82624,5.75818,-1.34461,-7.73203,-2.65034,6.45621,-3.19297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,18:06:47.03,3,1,"Ryerse, Luke",828037,Right,MIN_GOL,"Hamilton, Davis",1000136988,Left,NOR_BIS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.10053,-3.180952,-3.86844,2218.531758,185.693512,12:15,5.68452,2.63592,6.04313,-20.70997,14.37434,1.32473,1.00387,-0.8407,81.96058,-7.050424,-3.630829,0.426312,,,,,,,,,,,,-1.73225,8.61225,-2.33484,50,5.42469,8.67423,-129.06292,-7.828,-2.93044,26.1174,-17.60465,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,a0716c30-254e-11f0-bf2b-e57d97979763,88.41508,,,7.13995,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:06:47.03,2025-04-29T18:06:47.0396928-05:00,2025-04-29T23:06:47.0396928Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,7b9d993a-901c-480d-ad0f-cbd478c91f92,54.45655,-129.96162,13.0587,5.68363,-7.22222,-8.80232,-2.63506,8.77507,-1.46522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-29,18:07:03.73,3,2,"Ryerse, Luke",828037,Right,MIN_GOL,"Hamilton, Davis",1000136988,Left,NOR_BIS,Undefined,1,Top,1,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.15524,-1.389886,-3.557679,2196.76062,133.738464,10:30,5.45855,2.99224,5.46472,-37.58482,2.8198,-1.57126,1.02287,-0.47274,77.08804,-8.244038,-3.836939,0.457496,,,,,,,,,,,,-0.24701,2.16677,-2.67763,50,5.31011,7.64348,-121.90848,-4.28681,-0.36961,25.22286,-28.93158,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,aa63cf30-254e-11f0-bf2b-e57d97979763,82.38861,,,7.0672,,,,,,,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:07:03.73,2025-04-29T18:07:03.7380608-05:00,2025-04-29T23:07:03.7380608Z,,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,dce09e74-7c95-4710-ab57-15a97601bce9,55.03504,-122.94582,12.61143,5.46195,-3.09695,-14.46579,-2.9923,7.65868,-0.1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-29,18:07:25.73,3,3,"Ryerse, Luke",828037,Right,MIN_GOL,"Hamilton, Davis",1000136988,Left,NOR_BIS,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,83.50717,-1.041525,-3.139228,2352.664336,73.21881,8:30,5.45584,2.95907,5.34338,-40.58093,0.5228,-2.60902,1.09552,-0.20606,76.66652,-8.412086,-3.602309,0.461437,84.99548,23.243101,32.372959,3445.678858,89.72364,35.12535,63.63618,277.05205,273.68634,41.292643,3.454562,0.41752,0.88008,-2.67391,50,5.33247,6.74559,-121.04718,-3.6597,0.61714,24.46143,-30.87318,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,b7830820-254e-11f0-bf2b-e57d97979763,81.68499,38.96182,,6.84065,,,,3.26628,1.28202,0.11127,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:07:25.73,2025-04-29T18:07:25.7351168-05:00,2025-04-29T23:07:25.7351168Z,LineDrive,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,d491226d-b924-40c0-a02e-ece5f811ee14,55.15699,-122.08487,12.23072,5.45994,-2.35002,-15.43659,-2.95951,6.71941,0.30857,232.188535,3.26675,96.72647,-19.60518,4.70032,-1.00657,0.18017,-0.04058,0.00851,-0.00076,1.28196,49.19455,-17.75006,1.13329,0.06483,-0.13945,0.06875,-0.01505,0.00122,0.11139,61.32625,-1.72912,-1.01644,0.49278,-0.12721,0.01758,-0.00026,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2025-04-29,18:08:12.19,4,1,"Ryerse, Luke",828037,Right,MIN_GOL,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.26278,-2.515522,-3.991077,2287.874979,184.096171,12:15,5.77612,2.79382,5.92685,-17.67367,18.00119,1.19658,1.96206,-0.81567,80.62903,-5.883929,-3.777104,0.429885,103.75732,5.225286,68.346934,4304.56972,,,,132.67275,94.37682,72.975187,1.000034,-1.90067,10.43414,-2.47499,50,5.56468,8.95814,-129.10654,-6.19609,-3.16088,30.5672,-14.82162,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,d336dbf0-254e-11f0-bf2b-e57d97979763,87.68025,5.13336,,8.63375,,,,3.04081,2.21605,0.74863,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:08:12.19,2025-04-29T18:08:12.1981952-05:00,2025-04-29T23:08:12.1981952Z,GroundBall,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,c7135317-8049-4637-b00e-2875b65378a4,54.57074,-130.18421,15.2836,5.77391,-5.67354,-7.41081,-2.79279,9.06958,-1.58044,,3.04082,55.91679,-25.53263,6.72852,-2.2568,2.67386,-3.32376,2.14047,-0.54299,2.21604,13.86022,-16.80023,0.84081,0.4819,-2.27175,3.30267,-2.19075,0.56144,0.74863,140.85116,-17.96202,3.92189,-0.83525,0.04675,0.20875,-0.17234,0.04732,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-29,18:08:34.54,4,2,"Ryerse, Luke",828037,Right,MIN_GOL,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,1,0,1,ChangeUp,,InPlay,Undefined,GroundBall,Out,1,1,,85.03032,-1.553387,-5.880973,1664.289208,,,5.46711,3.47388,6.02107,,,,1.9512,0.03221,75.72152,-6.277399,-1.537774,0.453818,90.35255,-21.626913,42.686952,,,,,7.0308,7.0308,29.378473,0.041909,-14.55426,8.66591,-3.02501,50,5.33159,11.6447,-122.62689,-4.06293,-21.589,30.08706,-19.31947,MIN_GOL,NOR_BIS,SiebertField,D1,BIG10,20250429-SiebertField-1,e0987510-254e-11f0-bf2b-e57d97979763,83.05637,2.05041,,9.3088,,,,2.32512,2.05041,-0.05719,b35334be-090b-4a6f-be0c-a282bc4684e6,2025-04-29,23:08:34.54,2025-04-29T18:08:34.5495040-05:00,2025-04-29T23:08:34.5495040Z,GroundBall,v3,471360,471388,,"Taxdahl, Jack",822385,Right,MIN_GOL,d7a134d3-6e56-435a-84c3-ac2422a27635,54.4758,-123.72017,15.04353,5.46648,-3.36092,-9.65974,-3.4624,12.42919,-10.7945,,2.32407,90.70788,,,,,,,,2.05097,-48.92478,,,,,,,,-0.05816,83.66459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
