PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:36:01.89,1,1,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.81415,-3.790182,-3.540483,2325.4416,224.250565,1:30,6.19363,1.6612,5.47796,-16.91591,15.60461,14.14245,1.22544,-0.4774,85.60843,-6.958588,-1.026594,0.410441,,,,,,,,,,,,-8.16894,9.2778,-1.3601,50,5.8486,7.74215,-135.67703,-9.5846,-15.19671,30.2381,-14.91449,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,b66b80d0-2552-11f0-876b-6359fa04dda0,91.83411,,,8.20572,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:36:01.89,2025-04-29T18:36:01.8953216-05:00,2025-04-29T23:36:01.8953216Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,e1e80f11-64ad-4a32-8aa3-b5ef058e8bd1,55.02236,-136.79177,15.11905,6.1918,-9.03477,-7.45724,-1.65584,8.30239,-7.59836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:36:15.52,1,2,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.80189,-1.973072,-2.629998,2202.302119,219.447573,1:15,6.06669,1.71971,5.72077,-15.51524,16.51666,12.73808,2.9332,0.32969,85.60345,-4.915431,-0.353547,0.407345,76.03219,47.938904,-154.001635,4066.085705,-100.3837,64.64765,-44.97814,226.08743,64.91912,-157.270379,3.496452,-7.26638,9.28721,-1.50806,50,5.89224,5.68271,-136.06411,-5.18845,-13.60822,30.13806,-14.7813,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,be899900-2552-11f0-876b-6359fa04dda0,92.53188,64.68391,,8.19845,,,,1.60211,3.16434,-0.36392,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:36:15.52,2025-04-29T18:36:15.5292160-05:00,2025-04-29T23:36:15.5292160Z,FlyBall,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,13757d6e-2da5-4003-a03d-19ffb5d082ac,54.77998,-137.11878,15.06903,6.06476,-4.67118,-7.39065,-1.71525,6.15892,-6.80411,11.396347,1.60216,-67.1449,1.09848,0.67287,-0.28396,0.09768,-0.02841,0.00591,-0.00053,3.16426,82.79454,-33.76357,5.24298,-1.25481,0.28853,-0.06082,0.0089,-0.00058,-0.3639,-32.74737,3.83383,-0.8035,0.16288,-0.02602,0.0015,0.00057,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-04-29,18:36:34.14,1,3,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.44371,0.052513,-4.125858,1735.229905,244.254284,2:15,5.59319,2.10267,5.86709,-29.98533,7.61142,13.27099,3.14332,-0.63069,78.88443,-5.516126,-1.752934,0.441313,,,,,,,,,,,,-7.92229,4.24918,-1.77558,50,5.58009,8.48583,-125.27592,-0.88447,-12.57619,25.56651,-25.42872,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,c9a5d600-2552-11f0-876b-6359fa04dda0,85.40975,,,7.55928,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:36:34.14,2025-04-29T18:36:34.1468160-05:00,2025-04-29T23:36:34.1468160Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,544de411-eed6-4a59-8598-3f07c28e3a4c,54.63232,-126.21775,12.78326,5.59542,0.05229,-12.71436,-2.09671,8.94912,-6.2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,18:36:50.69,1,4,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.25285,-3.152448,-0.72172,2018.08997,219.713331,1:15,6.11564,1.64654,5.61505,-18.03855,14.77839,11.32532,1.66694,1.91668,84.64942,-6.54054,1.301729,0.412307,,,,,,,,,,,,-5.92926,8.77556,-1.59224,50,5.83476,1.17526,-135.09255,-8.04331,-10.85867,31.90141,-16.10266,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,d376a740-2552-11f0-876b-6359fa04dda0,91.41845,,,8.60342,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:36:50.69,2025-04-29T18:36:50.6907136-05:00,2025-04-29T23:36:50.6907136Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,ce62d370-b7bf-4298-a0c6-c09a32a9c57f,54.88247,-136.24064,15.95071,6.1138,-7.4638,-8.05133,-1.64157,1.56605,-5.42934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,18:37:08.25,1,5,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.92399,-0.510226,-2.859277,2148.060024,72.186978,8:30,5.96808,1.76846,5.30587,-41.65266,-0.14815,-4.36118,2.01745,-1.28128,76.46655,-8.063751,-3.632944,0.463681,85.19201,-22.549033,85.554004,,,,,7.56608,6.53715,64.351605,0.046393,1.43264,0.35394,-1.50527,50,5.89097,6.18579,-120.31321,-2.56746,2.1029,23.03199,-31.65453,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,ddf544b0-2552-11f0-876b-6359fa04dda0,81.28961,2.22762,,6.45744,,,,2.85907,2.22762,1.47175,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:37:08.25,2025-04-29T18:37:08.2515456-05:00,2025-04-29T23:37:08.2515456Z,GroundBall,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,e0ef1505-e572-4003-9d9c-a0e78f808155,55.19647,-121.30391,11.516,5.97213,-1.20587,-15.82726,-1.7694,6.09533,1.05145,180,2.85893,8.96442,,,,,,,,2.22838,-48.01605,,,,,,,,1.46993,115.29301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-04-29,18:37:30.23,1,6,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.81096,-1.012532,-2.398487,2192.202267,222.711376,1:30,6.06763,1.68204,5.66084,-16.38107,16.19721,14.0391,3.7574,0.61399,85.09893,-4.103578,0.108164,0.410805,,,,,,,,,,,,-7.76095,8.79197,-1.48812,50,5.97163,5.01236,-134.75959,-2.91571,-14.34584,27.85916,-15.92237,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,eb178ae0-2552-11f0-876b-6359fa04dda0,91.75265,,,7.71203,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:37:30.23,2025-04-29T18:37:30.2340000-05:00,2025-04-29T23:37:30.2340000Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,48508933-314b-45a8-a3ea-3c059caefaa7,54.8396,-135.75641,13.92958,6.06576,-2.346,-7.96119,-1.67664,5.52566,-7.17292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98783,,,0.99375,,,,0.46238,4.97868,-0.774,75.99979,5.53783,-48.79906,0.48638,80.71351,-4.76244,5.01989,15.55135,-15.13787,-0.83118,-55.11095,6.90232,High,High,High,,,High,High,High
7,2025-04-29,18:38:05.88,2,1,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Mock, Logan",1000072750,Right,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,94.58502,-2.227912,-2.078512,2202.820155,223.761431,1:30,6.27076,1.60612,5.53085,-15.33898,16.30221,14.65583,2.90744,0.88359,86.55303,-5.120051,0.533229,0.404853,71.62929,31.961434,-26.129813,2974.295627,96.83755,51.32759,-52.17728,253.42089,248.37438,-30.029435,3.972996,-8.0178,9.16276,-1.43575,50,6.06708,4.30611,-137.23068,-5.85701,-15.31595,29.8787,-14.67091,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,0046ab30-2553-11f0-876b-6359fa04dda0,93.10144,53.88844,,8.03199,,,,1.49674,3.01957,-0.90007,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:38:05.88,2025-04-29T18:38:05.8813952-05:00,2025-04-29T23:38:05.8813952Z,FlyBall,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,2447fdd8-7af0-4f4f-b94f-da354120b9b5,54.97017,-138.30858,14.93935,6.26883,-5.32774,-7.33546,-1.60106,4.85865,-7.65798,161.383366,1.49788,79.98834,-13.85525,3.30528,-0.39673,-0.0676,0.03842,-0.00602,0.00033,3.0188,55.62982,-16.23109,0.59827,-0.00312,-0.04438,0.02724,-0.00631,0.0005,-0.90043,-39.24341,3.56573,-0.61348,0.00286,0.04248,-0.01328,0.00169,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-29,18:38:49.11,3,1,"Wilcenski, Blaise",824656,Right,TUL_GRE,"Collura, Jaden",1000236652,Left,NIC_COL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.37125,-1.39388,-2.84512,1534.914497,252.581721,2:30,5.64133,2.14116,5.66373,-30.63407,6.04288,15.83682,1.78687,0.80569,80.69637,-7.019949,-0.014951,0.435881,88.0976,-5.065964,17.337463,,,,,16.58868,16.58868,13.070494,0.115581,-8.84418,3.73126,-1.91095,50,5.50372,5.65276,-126.87662,-4.16663,-14.52898,24.06286,-26.04444,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,1a0e8d80-2553-11f0-876b-6359fa04dda0,86.47415,1.86424,,6.67488,,,,2.20751,1.86424,-0.66835,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:38:49.11,2025-04-29T18:38:49.1197440-05:00,2025-04-29T23:38:49.1197440Z,GroundBall,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,bcff9278-a106-4895-9a7d-70a3d7f4d6dc,54.83887,-127.79104,12.03143,5.64326,-3.17691,-13.02222,-2.13625,6.20488,-7.26449,349.727276,2.20733,122.87808,-18.75796,,,,,,,1.86475,-11.46787,-40.40693,,,,,,,-0.66848,38.36885,-1.09077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-29,18:41:19.24,1,1,"Hill, Dalton",1000189691,Right,NIC_COL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.30209,-0.435514,-1.154706,2160.49972,198.409936,12:30,6.19536,1.84957,5.92506,-18.4091,14.13072,4.38193,4.25706,1.14312,84.75885,-3.903683,-0.367882,0.410562,,,,,,,,,,,,-2.53248,7.64851,-1.7596,50,6.14997,2.51069,-134.14836,-1.60875,-4.64394,27.30857,-18.1487,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,73713e40-2553-11f0-876b-6359fa04dda0,91.80687,,,7.54324,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:41:19.24,2025-04-29T18:41:19.2443392-05:00,2025-04-29T23:41:19.2443392Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Collura, Jaden",1000236652,Right,NIC_COL,ae7b8ae4-f8ce-45f9-b840-76ea06c2d902,54.57358,-135.0762,13.65429,6.19416,-0.99213,-9.07435,-1.84759,2.66847,-2.32197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,18:41:35.67,1,2,"Hill, Dalton",1000189691,Right,NIC_COL,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.09774,-2.84775,-1.989521,2426.34993,215.946428,1:15,6.21656,1.84437,5.87737,-21.29623,11.36316,7.56666,1.79324,0.62641,85.31119,-6.795664,-0.631597,0.411316,,,,,,,,,,,,-4.35981,6.81209,-1.6879,50,5.97366,4.3194,-133.73264,-7.38261,-7.99033,25.59527,-19.68929,TUL_GRE,NIC_COL,Tulane,D1,AMER,20250429-Tulane-1,7d657600-2553-11f0-876b-6359fa04dda0,91.63872,,,6.78655,,,,,,,8890b61a-8922-4df2-ae22-de8153ea630f,2025-04-29,23:41:35.67,2025-04-29T18:41:35.6721664-05:00,2025-04-29T23:41:35.6721664Z,,v3,471471,471383,29 April 2025 19:30-nicholls@tulane,"Collura, Jaden",1000236652,Right,NIC_COL,4b6f3623-8dae-4ced-baaf-b5b388853f9b,54.62329,-134.61459,12.79763,6.21636,-6.70417,-9.84465,-1.84148,4.59472,-3.99517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
