PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,17:07:11.47,1,1,"Peters, Kyle",1000135148,Right,UCO_HUS,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.3959,-1.399492,-1.243759,2376.771783,189.31966,12:15,5.60366,1.06406,6.93698,-10.71516,20.67493,3.19764,3.43626,0.19819,83.59359,-3.569776,-0.658628,0.403244,,,,,,,,,,,,-2.10543,11.75509,-0.98728,50,5.51156,2.81348,-135.56586,-3.46662,-3.83165,35.73762,-10.78122,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,f8a0b5c0-253d-11f0-9452-4b75895f1579,93.47305,,,9.80231,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:07:11.47,2025-04-29T17:07:11.4772992-04:00,2025-04-29T21:07:11.4772992Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,8596db63-e00d-435d-9a5e-848f3e1987d4,53.55819,-136.50064,17.86881,5.59855,-3.18462,-5.39061,-1.06218,2.9137,-1.91582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,17:07:30.08,1,2,"Peters, Kyle",1000135148,Right,UCO_HUS,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.41837,-0.412979,-1.499984,2304.871955,208.475571,1:00,5.55945,1.0287,6.85056,-11.67107,19.7767,10.08796,4.21018,0.5014,83.60175,-2.757547,0.34296,0.403614,,,,,,,,,,,,-5.75618,10.8754,-0.9353,50,5.52767,3.1276,-135.59708,-1.16863,-10.49313,35.42499,-12.34884,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,03c6b6c0-253e-11f0-9452-4b75895f1579,93.38734,,,9.81662,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:07:30.08,2025-04-29T17:07:30.0818944-04:00,2025-04-29T21:07:30.0818944Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,d20ea197-878a-4341-8606-592f0d37d20f,53.64379,-136.5457,17.7125,5.55453,-0.83795,-6.17442,-1.02281,3.40858,-5.24657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-29,17:07:50.71,1,3,"Peters, Kyle",1000135148,Right,UCO_HUS,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.44307,-1.504596,-3.147564,2354.477563,207.953967,1:00,5.53643,1.14901,7.04568,-12.12879,18.74166,9.39075,3.15659,-0.93047,84.73911,-3.909459,-1.428656,0.399892,,,,,,,,,,,,-5.92382,10.74808,-0.96074,50,5.44045,7.0972,-135.67828,-3.79234,-10.95591,31.85605,-12.29584,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,100b9540-253e-11f0-9452-4b75895f1579,94.25651,,,8.70397,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:07:50.71,2025-04-29T17:07:50.7159040-04:00,2025-04-29T21:07:50.7159040Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,598a958e-19c4-4121-809a-03dae89faf5d,53.4527,-136.48653,15.92803,5.53271,-3.48036,-6.14792,-1.14433,7.37518,-5.47796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,17:08:11.32,1,4,"Peters, Kyle",1000135148,Right,UCO_HUS,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,92.47053,-1.372548,-1.961881,2312.473862,205.649691,12:45,5.56373,0.99963,6.99306,-9.45288,22.21064,10.13186,3.52698,0.05934,83.49313,-3.300197,-0.10658,0.404996,91.21786,68.124476,-8.617454,,,,,,48.70317,,,-6.03737,12.62398,-0.88205,50,5.4755,4.22269,-134.36922,-3.34752,-10.89144,32.72167,-9.40035,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,1c5ccfd0-253e-11f0-9452-4b75895f1579,93.0686,137.26028,,8.9774,,,,1.14154,4.04856,-0.47657,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:08:11.32,2025-04-29T17:08:11.3240064-04:00,2025-04-29T21:08:11.3240064Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,0008ae7e-cccf-483d-942b-01949d250a21,53.50664,-135.22046,16.36083,5.5594,-3.10298,-4.70018,-0.99558,4.50603,-5.44572,178.227921,1.14152,49.28912,-19.0024,6.37205,-2.96307,2.51308,-1.72686,0.66465,-0.10584,4.04857,124.1514,-28.95975,3.39877,-0.14289,-0.62295,0.54554,-0.22146,0.03584,-0.47657,-7.46926,1.79699,-0.52716,0.20926,-0.16286,0.10967,-0.042,0.00668,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-04-29,17:08:51.61,2,1,"Peters, Kyle",1000135148,Right,UCO_HUS,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.76294,-1.724006,-1.68039,2328.457365,207.154495,1:00,5.50282,1.27084,7.03655,-10.23485,21.47635,10.39634,3.08245,0.61007,83.02704,-3.812514,0.225436,0.405301,80.60038,67.581324,-64.4995,4551.965123,11.93348,129.23814,-109.35074,179.06523,71.25241,-86.529002,5.475722,-6.125,12.40615,-1.17161,50,5.39406,3.55323,-134.67924,-4.19412,-10.98959,35.55777,-9.9147,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,3466fc90-253e-11f0-9452-4b75895f1579,92.99864,131.86599,,9.73591,,,,0.78511,3.76367,-1.40919,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:08:51.61,2025-04-29T17:08:51.6198400-04:00,2025-04-29T21:08:51.6198400Z,Popup,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,c541fee7-318b-440f-942b-6231d744d84c,53.46134,-135.59002,17.77889,5.49824,-3.94016,-4.95735,-1.26623,3.83471,-5.4948,,0.78718,19.31304,-10.74689,2.32865,0.32875,-0.39129,0.11426,-0.01495,0.00074,3.77986,108.94907,-28.1874,1.63877,0.98936,-0.60572,0.14757,-0.01737,0.00081,-1.42237,-40.46845,0.38229,1.39697,-0.78094,0.22055,-0.02965,0.00139,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-04-29,17:09:15.46,2,2,"Peters, Kyle",1000135148,Right,UCO_HUS,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.20274,-1.289373,-0.978534,2340.257766,208.505285,1:00,5.59751,1.27075,6.92352,-11.56749,19.89269,10.16776,3.45921,1.22702,83.60465,-3.6115,0.882168,0.403694,,,,,,,,,,,,-5.66382,11.28823,-1.21195,50,5.51173,1.89914,-135.3371,-3.23632,-10.29516,35.02896,-11.65529,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,428fb640-253e-11f0-9452-4b75895f1579,93.36889,,,9.59809,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:09:15.46,2025-04-29T17:09:15.4632192-04:00,2025-04-29T21:09:15.4632192Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,6f214f1e-ee59-468a-95d0-d82079c1ea75,53.57227,-136.25856,17.51448,5.59283,-2.92972,-5.82764,-1.26547,2.16997,-5.14758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-29,17:09:39.16,2,3,"Peters, Kyle",1000135148,Right,UCO_HUS,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.12964,-0.38738,-0.688916,2410.831097,31.749997,7:00,5.58398,0.98334,6.00637,-60.26448,-13.74186,-9.55871,0.203,-0.45154,70.9813,-11.42057,-2.416636,0.490912,,,,,,,,,,,,4.70595,-6.53441,-0.92391,50,5.52066,1.70965,-113.41132,-2.67988,5.97069,25.73838,-40.46457,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,50c170a0-253e-11f0-9452-4b75895f1579,76.78045,,,7.14834,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:09:39.16,2025-04-29T17:09:39.1642624-04:00,2025-04-29T21:09:39.1642624Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,5a6d5558-756c-46d9-bb02-1cca9d1bec24,54.49649,-114.42724,12.86919,5.59491,-1.08271,-20.23228,-0.98674,1.47398,2.98534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-29,17:10:06.27,2,4,"Peters, Kyle",1000135148,Right,UCO_HUS,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.78248,-0.136209,-1.676661,2426.32869,198.296733,12:30,5.62006,0.86175,6.84588,-11.05347,20.403,6.40189,4.57468,-0.13407,84.13503,-2.342679,-0.507543,0.40367,,,,,,,,,,,,-3.84819,11.10713,-0.75621,50,5.60616,3.68849,-134.84532,-0.50389,-7.03795,31.15881,-11.86028,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,60d4e350-253e-11f0-9452-4b75895f1579,93.3744,,,8.64745,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:10:06.27,2025-04-29T17:10:06.2727680-04:00,2025-04-29T21:10:06.2727680Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,15e5404f-f51e-4196-ab4d-daf3b2bb359d,53.65116,-135.68637,15.57941,5.61545,-0.18376,-5.93014,-0.85833,3.87846,-3.51898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-29,17:10:28.20,2,5,"Peters, Kyle",1000135148,Right,UCO_HUS,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.34864,-1.131355,-1.07104,2348.42655,211.785511,1:00,5.55516,1.34627,6.81766,-10.90682,21.15533,12.39201,3.61376,1.40166,83.09935,-3.326766,1.191968,0.407537,,,,,,,,,,,,-6.84544,11.8589,-1.28074,50,5.47725,2.00848,-134.13445,-2.82047,-12.26669,33.46093,-10.92349,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,6df72980-253e-11f0-9452-4b75895f1579,92.48829,,,9.24929,,,,,,,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:10:28.20,2025-04-29T17:10:28.2000000-04:00,2025-04-29T21:10:28.2000000Z,,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,26083a36-65b4-4949-8ff9-0ec615eabc70,53.67938,-135.04918,16.73046,5.55028,-2.52185,-5.46175,-1.34023,2.34382,-6.13335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.24624,,,0.95144,,,,-2.49021,5.24806,-5.42317,68.488,7.53792,-56.31995,-2.4655,78.66061,-4.29123,5.28189,15.82813,-14.13889,-5.49703,-60.82197,7.77419,High,High,High,,,High,High,High
10,2025-04-29,17:11:01.89,3,1,"Peters, Kyle",1000135148,Right,UCO_HUS,"Cohen, Trevor",701906,Left,RUT_SCA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.19584,-2.259438,-1.884927,2390.143229,208.294683,1:00,5.4796,1.11586,6.80357,-15.25253,16.60981,8.37945,2.14442,0.09335,84.06888,-5.213205,-0.355425,0.406266,110.9386,-0.706863,13.951045,1696.954676,,,,45.57761,44.1023,14.579793,0.280519,-5.01981,9.79839,-0.99682,50,5.32734,4.09431,-133.96766,-5.66009,-9.07991,30.21197,-14.45062,UCO_HUS,RUT_SCA,UConn,D1,BEAST,20250429-UConn-1,8212de00-253e-11f0-9452-4b75895f1579,92.77784,2.22346,,8.12696,,,,2.0066,2.22346,-0.08544,feafb135-b2fd-412c-b1fb-e9bc4d94479e,2025-04-29,21:11:01.89,2025-04-29T17:11:01.8949120-04:00,2025-04-29T21:11:01.8949120Z,GroundBall,v3,471275,471422,29 April 2025 17:05-rutgers@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,bd0a6a9b-f1e6-4b2f-9cb9-4836890616d7,53.69748,-134.79892,15.10598,5.4776,-5.26248,-7.22531,-1.11291,4.34414,-4.53995,292.679715,2.01127,157.67658,-27.15803,,,,,,,2.22671,-2.16157,-20.63418,,,,,,,-0.08851,39.37152,6.61027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
