PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,18:02:31.80,1,1,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.487,-1.027954,-0.709884,2107.975358,212.823238,1:00,5.86744,0.16481,6.40011,-19.15473,16.35477,9.71729,3.32568,0.32171,79.70121,-4.715635,1.051244,0.428888,,,,,,,,,,,,-5.26197,9.22461,-0.11786,50,5.78478,1.19735,-128.43109,-2.81038,-8.6426,30.72675,-17.02301,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,d06fc970-260e-11f0-9439-75a4431acfa8,87.88414,,,8.78579,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:02:31.80,2025-04-30T18:02:31.8016512-04:00,2025-04-30T22:02:31.8016512Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,18e6d430-cd2f-48c1-b23c-2c762caa78fc,54.09745,-129.40768,15.36338,5.86551,-2.26934,-8.5115,-0.16028,1.47204,-4.3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-30,18:02:45.96,1,2,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.18005,-3.44666,-2.650637,2172.823543,210.749172,1:00,5.85598,0.51286,6.3429,-16.68162,18.41206,10.19571,1.28543,-1.07955,80.66382,-6.658019,-0.806987,0.426369,,,,,,,,,,,,-6.15863,11.05804,-0.32461,50,5.59684,5.57305,-129.15928,-8.21693,-10.26296,30.28928,-13.74648,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,d8ec0730-260e-11f0-9439-75a4431acfa8,88.40329,,,8.51623,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:02:45.96,2025-04-30T18:02:45.9659776-04:00,2025-04-30T22:02:45.9659776Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,d0dc721c-c5a3-4cda-ab0c-bc064b64a07d,54.15693,-130.13047,15.14464,5.85324,-7.77616,-6.87324,-0.50858,5.90212,-5.13148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-30,18:03:00.02,1,3,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.65351,-2.209115,-1.518947,2169.699109,213.641693,1:00,5.79182,0.63315,6.48164,-14.51497,20.24568,12.57383,2.55204,0.2859,80.21479,-5.067639,0.762549,0.424341,89.57309,-15.378142,-53.748878,,,,,11.63192,11.63192,-45.562675,0.077871,-7.11776,11.75249,-0.53154,50,5.62985,2.94615,-129.98856,-5.33938,-11.8829,33.41217,-12.55362,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,e148d610-260e-11f0-9439-75a4431acfa8,88.82574,2.71902,,9.43872,,,,2.29797,2.71902,-0.33295,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:03:00.02,2025-04-30T18:03:00.0267776-04:00,2025-04-30T22:03:00.0267776Z,GroundBall,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,c9c61977-e471-4e9b-80c8-080f71be9d37,54.01711,-131.01705,16.70609,5.78826,-4.95296,-6.27681,-0.62785,3.31193,-5.94145,180,2.29586,75.07158,,,,,,,,2.72,-34.91707,,,,,,,,-0.33007,-102.38052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
4,2025-04-30,18:03:19.88,1,4,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,1,2,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.23747,-2.942363,-2.609475,1948.360268,115.647356,9:45,5.69634,0.54974,6.07488,-36.29943,4.20792,-5.31205,-0.0565,-2.30923,75.39994,-9.675552,-3.566701,0.458077,,,,,,,,,,,,1.76083,3.72957,-0.34482,50,5.44923,5.75758,-121.78282,-7.41542,2.55255,31.64697,-26.76751,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,ed318ad0-260e-11f0-9439-75a4431acfa8,82.2841,,,8.83753,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:03:19.88,2025-04-30T18:03:19.8875648-04:00,2025-04-30T22:03:19.8875648Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,14592a72-41f1-44ae-8aba-49dbd0894467,54.42338,-122.92692,15.82348,5.69982,-6.44772,-13.38375,-0.5513,5.66531,1.27627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-30,18:03:42.10,1,5,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.98802,-3.77585,-2.002209,2088.748858,194.297222,12:30,5.76159,0.48585,6.80306,-13.09946,20.74481,4.97473,1.21695,-0.92759,81.40789,-6.355766,-1.094559,0.418711,,,,,,,,,,,,-3.27851,12.56406,-0.35793,50,5.51149,4.3737,-130.44585,-8.87456,-5.57099,30.97899,-10.82461,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,fa5e5850-260e-11f0-9439-75a4431acfa8,90.02026,,,8.58012,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:03:42.10,2025-04-30T18:03:42.1078016-04:00,2025-04-30T22:03:42.1078016Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,99038338-b302-491d-92b1-192e7ca1136e,53.69687,-131.32087,15.4895,5.75783,-8.56882,-5.41231,-0.48369,4.53106,-2.7855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,18:03:57.64,1,6,"Medley, Drew",1000115350,Right,COL_CHA,"Smith, Sean",695617,Right,GEO_EAG,Undefined,1,Top,0,3,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,76.99649,1.672697,0.673462,2243.928159,58.21253,8:00,5.70513,0.88142,5.55516,-57.05983,-8.15441,-16.19076,2.51367,0.16151,69.17689,-8.787937,-2.219651,0.503327,,,,,,,,,,,,8.37465,-4.12024,-0.92882,50,5.81261,-0.67578,-111.54957,1.34618,10.26786,25.10299,-37.22575,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,03ad2850-260f-11f0-9439-75a4431acfa8,74.88665,,,7.8196,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:03:57.64,2025-04-30T18:03:57.6430000-04:00,2025-04-30T22:03:57.6430000Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,d4e9c2d8-3be1-4b27-a80a-1ccded91bc27,54.94562,-112.65703,12.55149,5.717,2.98845,-18.61287,-0.88902,-1.12877,5.13393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.82701,2.859236,1.896858,0.962378,0.64069,2.39247,-0.13115,1.32914,5.29832,1.63822,68.55071,6.48248,-56.25768,1.36506,74.11344,-4.4576,5.34147,14.66802,-13.99389,1.54963,-67.50838,7.70332,High,High,High,,,High,High,High
7,2025-04-30,18:04:22.44,2,1,"Medley, Drew",1000115350,Right,COL_CHA,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,1,0,0,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.82764,-2.711883,-2.552563,1849.121755,28.256947,7:00,5.69818,0.48132,6.07324,-40.42353,0.35547,-0.68602,-0.18428,-1.93945,75.28225,-10.178986,-2.676323,0.45961,,,,,,,,,,,,-0.59736,1.61784,-0.28321,50,5.46665,5.43253,-121.26386,-7.05274,-0.86088,30.81618,-29.84258,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,127a5f60-260f-11f0-9439-75a4431acfa8,82.00955,,,8.54539,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:04:22.44,2025-04-30T18:04:22.4478720-04:00,2025-04-30T22:04:22.4478720Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,f7062e7a-e709-4ab7-8291-f97a2011a94a,54.42582,-122.3834,15.40809,5.70318,-5.96857,-14.92129,-0.48114,5.46381,-0.43044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-30,18:04:36.67,2,2,"Medley, Drew",1000115350,Right,COL_CHA,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.55492,-4.962641,-2.833427,2187.679536,190.572518,12:15,5.72093,0.48609,6.88091,-11.41745,22.27182,3.91339,0.23031,-1.7719,81.40594,-7.244457,-2.119308,0.417751,,,,,,,,,,,,-3.03276,13.87741,-0.30766,50,5.4007,6.32997,-130.90726,-11.56287,-5.15422,32.94302,-8.58908,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,1ae69790-260f-11f0-9439-75a4431acfa8,90.22708,,,9.14897,,,,,,,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:04:36.67,2025-04-30T18:04:36.6727680-04:00,2025-04-30T22:04:36.6727680Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,9ab85891-17d7-4097-9963-700e56cd7546,53.61746,-131.81445,16.47151,5.71586,-11.32634,-4.29454,-0.48394,6.47191,-2.57711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-30,18:04:52.02,2,3,"Medley, Drew",1000115350,Right,COL_CHA,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.32873,-2.257316,-0.882932,2128.711669,203.90151,12:45,5.69381,0.87517,6.46446,-19.60997,15.58269,6.38914,1.98491,0.59654,80.56434,-5.994708,0.276732,0.42697,102.01037,32.613721,-23.177677,3223.205594,100.44562,65.78347,-44.83976,425.04329,402.7696,-26.676524,5.391231,-3.62276,9.18044,-0.81559,50,5.52551,1.73446,-128.30633,-5.59154,-6.00518,27.94089,-16.95628,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,24090060-260f-11f0-9439-75a4431acfa8,88.27889,102.11968,,7.76439,,,,2.41176,2.04871,-0.53183,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:04:52.02,2025-04-30T18:04:52.0280576-04:00,2025-04-30T22:04:52.0280576Z,FlyBall,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,d9a14f4b-37f6-4014-b5ee-74aafaee159b,54.03676,-129.18241,13.97045,5.6925,-5.05988,-8.47814,-0.87293,1.92275,-3.00259,168.093368,2.41573,115.77201,-22.7207,5.51126,-0.85715,0.0628,0.00194,-0.00055,2E-05,2.04851,80.63954,-17.60176,0.48657,0.12928,-0.08793,0.02507,-0.00339,0.00017,-0.53312,-49.57595,6.70947,-1.52203,0.22052,-0.01411,-0.00052,8E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-30,18:05:37.79,3,1,"Medley, Drew",1000115350,Right,COL_CHA,"Haab, Daniel",831986,Right,GEO_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.98619,-2.077809,-1.349486,2210.656193,206.115611,12:45,5.84294,0.49133,6.51999,-13.46816,20.97418,9.62749,2.81271,0.05515,80.49072,-4.748316,0.398595,0.422394,70.79128,67.982283,69.450723,4967.631933,,,,,30.69438,,,-5.50386,12.08201,-0.40113,50,5.69205,2.68739,-130.48468,-5.01356,-9.26179,33.58772,-11.8427,COL_CHA,GEO_EAG,BallparkAtPatriotPoint,D1,CAA,20250430-BallparkAtPatriotPoint-1,3f5c1690-260f-11f0-9439-75a4431acfa8,89.23525,76.56396,,9.49547,,,,0.54212,2.92116,-0.29737,bb1f6fb6-d283-41a9-91f9-212baa787613,2025-04-30,22:05:37.79,2025-04-30T18:05:37.7924096-04:00,2025-04-30T22:05:37.7924096Z,,v3,471501,471303,,"Johnson, Dylan",805359,Right,COL_CHA,6bbc090b-d279-4dfc-9c97-fc126ef2f12a,53.97795,-131.50465,16.79386,5.83884,-4.65393,-5.92135,-0.487,2.96865,-4.6309,197.42489,0.54212,13.66283,-12.25288,4.74157,-1.33419,0.31681,-0.054,0.00193,0.00088,2.92116,96.2547,-27.39205,3.08728,-0.40922,-0.00993,0.03931,-0.01823,0.00322,-0.29737,36.44733,-9.14093,2.63869,-0.60477,0.11087,-0.00481,-0.00615,0.00145,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
