PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,15:04:03.41,1,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.50249,-1.315517,-2.066676,2407.509632,226.575908,1:30,5.43633,1.93356,6.24825,-20.82993,12.16816,11.72871,2.48622,1.00406,83.49414,-5.251372,0.052094,0.413443,,,,,,,,,,,,-6.66922,7.01272,-1.78536,50,5.32813,4.30883,-132.89076,-3.69509,-11.89253,29.22945,-19.66894,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,02e2dcd0-25f6-11f0-bb7a-27e2ba0f1ab1,91.16718,,,8.00835,,,,,,,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:04:03.41,2025-04-30T15:04:03.4164736-04:00,2025-04-30T19:04:03.4164736Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,5431fe68-3db4-458c-b5dc-e898a1c1af36,54.25163,-133.82264,14.61472,5.43594,-3.06802,-9.83447,-1.92878,4.68798,-5.94626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-30,15:04:19.88,1,2,"Lafferty, Drew",805298,Right,PIT_PAN,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,76.68395,0.922328,-1.062496,2590.614588,56.671179,8:00,5.22048,2.20701,5.42078,-58.38531,-9.92394,-17.37198,1.21924,-0.23604,70.69315,-9.651346,-4.159116,0.501036,89.58852,41.662123,-1.66482,5047.872122,109.34123,86.3247,-12.0195,279.10421,248.28819,-11.051032,5.341238,8.52288,-4.94111,-2.09988,50,5.26106,2.71615,-111.40045,-0.16129,10.65669,20.9468,-38.35224,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,0cbef8b0-25f6-11f0-bb7a-27e2ba0f1ab1,75.22895,103.07088,,5.9908,,,,2.06515,1.53543,0.19323,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:04:19.88,2025-04-30T15:04:19.8896128-04:00,2025-04-30T19:04:19.8896128Z,FlyBall,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,0df22085-e8f6-49f4-85f7-025d00f177ad,55.08433,-112.3524,10.4734,5.22879,1.58167,-19.17612,-2.21231,2.23185,5.32835,153.346888,2.0784,97.86495,-21.9538,4.27871,0.0794,-0.35416,0.10019,-0.01195,0.00053,1.5332,87.36143,-21.72155,1.35178,0.12588,-0.16964,0.05665,-0.00837,0.00046,0.19772,-2.92909,-6.48353,2.42389,-0.45351,0.02583,0.00405,-0.00051,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-04-30,15:04:53.75,2,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.468,-1.766308,-2.336081,2294.630613,216.60339,1:15,5.36946,1.89852,6.57785,-19.19855,12.91745,8.77831,2.14883,0.48776,83.91623,-5.434157,-0.740997,0.40788,87.71748,-1.64577,-5.043644,953.327357,,,,32.227,28.70554,-6.068178,0.252474,-5.33626,7.65556,-1.7416,50,5.23996,5.1272,-134.24177,-4.68599,-9.64404,31.66648,-18.33844,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,20e18b00-25f6-11f0-bb7a-27e2ba0f1ab1,92.41067,2.19812,,8.55176,,,,0.76339,2.19812,-0.47311,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:04:53.75,2025-04-30T15:04:53.7547776-04:00,2025-04-30T19:04:53.7547776Z,GroundBall,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,890eae00-0716-4de2-bacb-e6e96ebad4f8,53.9218,-135.16372,15.83324,5.36862,-4.15207,-9.16922,-1.89496,5.40799,-4.82202,30.549867,0.76499,128.01707,-16.3337,,,,,,,2.19983,-3.78463,-19.54657,,,,,,,-0.47277,-11.32368,-1.18271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-30,15:05:32.09,3,1,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.76882,0.070417,-0.831041,2394.756119,80.113247,8:45,5.26716,2.07013,5.58878,-40.11506,0.16465,-6.29201,1.99,0.76972,76.84149,-7.274751,-1.955215,0.456788,,,,,,,,,,,,2.95713,0.43449,-1.99456,50,5.24699,2.02236,-121.6677,-1.26125,4.42477,24.26591,-31.52392,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,37c62380-25f6-11f0-bb7a-27e2ba0f1ab1,82.51629,,,6.92732,,,,,,,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:05:32.09,2025-04-30T15:05:32.0990720-04:00,2025-04-30T19:05:32.0990720Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,821556e3-2784-44f5-b073-30e3c754b5b1,54.91223,-122.6435,12.13295,5.27222,0.00642,-15.76196,-2.07231,1.84443,2.21238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-30,15:05:49.40,3,2,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.09842,-0.51893,-3.499979,2430.429974,55.735541,7:45,5.14758,2.14965,5.86051,-43.26176,-2.54366,-5.6078,1.0594,-1.57339,76.37457,-8.433606,-4.504013,0.459267,,,,,,,,,,,,1.85705,-0.75524,-1.86213,50,5.0803,7.59167,-120.51818,-2.55708,2.72101,24.24572,-33.28063,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,42191d10-25f6-11f0-bb7a-27e2ba0f1ab1,82.07089,,,6.72385,,,,,,,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:05:49.40,2025-04-30T15:05:49.4094336-04:00,2025-04-30T19:05:49.4094336Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,58b3ba11-96af-4d01-948e-9009a4620e11,54.6406,-121.44818,12.12286,5.15389,-1.28052,-16.64031,-2.15133,7.4873,1.36051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,15:06:04.36,3,3,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.10781,-3.130828,-3.140931,2177.679754,244.492717,2:15,5.47347,1.91131,5.97874,-24.12749,8.79434,16.2417,0.55334,0.35024,84.52308,-7.608351,-0.222042,0.412965,,,,,,,,,,,,-9.26875,5.69662,-1.67198,50,5.21191,6.6428,-133.52301,-8.13761,-16.74162,28.60985,-21.88456,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,4af38060-25f6-11f0-bb7a-27e2ba0f1ab1,91.27271,,,7.58473,,,,,,,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:06:04.36,2025-04-30T15:06:04.3605504-04:00,2025-04-30T19:06:04.3605504Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,89ed11ce-81c4-47d9-8846-3d0c281a2203,54.52334,-134.48873,14.30492,5.47412,-7.3989,-10.94228,-1.90574,7.20791,-8.37081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-30,15:06:21.69,3,4,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.97693,-0.969763,-2.672543,2371.186786,225.778677,1:30,5.43462,1.90309,6.34949,-19.85974,12.26272,11.44662,2.8859,0.39506,84.066,-4.75257,-0.602499,0.407921,66.41994,45.14702,114.378412,5629.144844,,,,,31.32538,,,-6.79666,7.01721,-1.71408,50,5.35481,5.81919,-134.90574,-2.884,-12.37603,32.61807,-19.39639,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,55443000-25f6-11f0-bb7a-27e2ba0f1ab1,92.40141,30.07823,,8.91093,,,,1.38997,2.52568,-0.43104,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:06:21.69,2025-04-30T15:06:21.6968192-04:00,2025-04-30T19:06:21.6968192Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,b860f70a-ec0f-4790-a250-728609417a64,54.14965,-135.90535,16.30904,5.43408,-2.28958,-9.6982,-1.89823,6.19846,-6.18802,321.792649,1.4,-28.63972,-3.44982,,,,,,,2.5396,68.67412,-24.393,,,,,,,-0.4266,62.45862,-6.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-04-30,15:06:41.79,3,5,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55465,-0.518379,-1.902143,2155.788926,245.210624,2:15,5.36525,1.83766,6.07363,-24.70478,8.70945,16.36135,2.82657,1.44034,82.91314,-5.158214,1.04467,0.416042,,,,,,,,,,,,-9.18847,4.96307,-1.69963,50,5.31192,3.74972,-132.93646,-2.01768,-16.2389,31.79323,-23.40278,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,61421a70-25f6-11f0-bb7a-27e2ba0f1ab1,90.59764,,,8.64151,,,,,,,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:06:41.79,2025-04-30T15:06:41.7939456-04:00,2025-04-30T19:06:41.7939456Z,,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,1bbe125b-4767-4258-a194-2a26f228101e,54.42869,-133.99144,15.89662,5.36599,-1.24111,-11.70139,-1.833,4.28857,-8.11945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-30,15:07:00.73,3,6,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.80851,0.629447,-1.545929,2439.371422,76.621223,8:30,5.198,2.09455,5.62385,-44.34077,-0.96555,-9.87961,2.09056,-0.17174,74.00218,-7.490817,-3.310622,0.474015,82.0474,30.625199,-38.08478,3217.371037,82.30206,48.04723,-72.98192,252.13182,180.49082,-48.135023,3.704777,4.61103,-0.34677,-1.95602,50,5.22282,3.54668,-117.33106,-0.19632,6.39234,23.34448,-32.65478,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,6c8feec0-25f6-11f0-bb7a-27e2ba0f1ab1,79.51737,52.27358,,6.80632,,,,3.34291,2.42282,0.07397,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:07:00.73,2025-04-30T15:07:00.7319040-04:00,2025-04-30T19:07:00.7319040Z,FlyBall,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,eec0af54-bf61-4e2e-a003-3813a7dec68a,54.87851,-118.29772,11.67224,5.20295,1.15586,-16.32739,-2.0974,3.28199,3.19617,122.31403,3.34441,81.45789,-16.75057,3.15171,-0.17,-0.24854,0.09677,-0.01506,0.00091,2.42232,61.31581,-21.87274,2.4608,-0.57162,0.13503,-0.01839,0.00016,0.00014,0.07305,-63.84512,1.95889,1.4843,-0.89056,0.37189,-0.09756,0.0145,-0.00091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-30,15:07:38.87,3,7,"Lafferty, Drew",805298,Right,PIT_PAN,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.27443,-1.432883,-2.077698,2370.914142,220.901576,1:15,5.34705,1.78635,6.4149,-17.81607,14.21221,11.28552,2.54388,0.81578,83.83393,-4.860692,-0.032928,0.407322,75.10233,-12.170455,-49.194513,,,,,14.02688,13.69069,-44.403472,0.111793,-6.6052,8.24304,-1.64279,50,5.23648,4.44216,-135.31131,-3.89152,-12.01171,34.79318,-17.18393,PIT_PAN,AKR_ZIP,CharlesCost,D1,ACC,20250430-CharlesCost-1,834cb3f0-25f6-11f0-bb7a-27e2ba0f1ab1,92.53715,2.60392,,9.44051,,,,2.13111,2.60392,-0.67568,0976b3bf-5dc9-45eb-b0a0-f622aa2b3b8f,2025-04-30,19:07:38.87,2025-04-30T15:07:38.8768256-04:00,2025-04-30T19:07:38.8768256Z,GroundBall,v3,471411,akron,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,70984579-228a-4c00-b597-6b68bfb470ec,54.08395,-136.35739,17.39659,5.34571,-3.37488,-8.59197,-1.78177,4.8033,-6.00585,180,2.12726,70.57817,,,,,,,,2.60519,-23.29244,,,,,,,,-0.67123,-81.74977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
