PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,18:05:19.76,1,1,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Brown, Ely",1000322118,Left,MER_BEA,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.03996,-2.644281,-1.995015,1862.716342,200.443559,12:45,7.15108,0.95431,5.78815,-18.23875,20.74222,7.24658,3.16787,-0.2986,77.59116,-6.10702,-0.697706,0.449363,68.68542,21.999482,-168.299348,1729.975006,-108.06193,18.83736,-20.55648,167.9693,57.78527,-169.568744,2.065213,-4.28323,11.74197,-0.79433,50,6.92215,4.00203,-123.30063,-6.21021,-6.57211,25.27319,-14.15747,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,352f1b90-260f-11f0-85e0-e5dc96157d06,83.87965,20.73822,,7.44879,,,,0.58139,3.15937,0.3152,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:05:19.76,2025-04-30T18:05:19.7694464-04:00,2025-04-30T22:05:19.7694464Z,LineDrive,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,f87cea2b-6a37-4b17-be6f-c2e384dae6e2,54.71264,-124.26284,12.63659,7.14833,-5.6712,-7.07873,-0.95146,4.25224,-3.28605,22.864254,0.58141,-91.46387,6.27152,-0.72467,0.22333,-0.05233,0.00161,0.00832,-0.00242,3.15937,37.73653,-21.65032,1.76435,-0.37244,0.11202,-0.04425,0.01571,-0.00244,0.31521,-18.94233,2.55412,-0.40628,0.08844,-0.02109,0.00354,0.00052,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-04-30,18:05:36.86,1,2,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Brown, Ely",1000322118,Left,MER_BEA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.24469,-0.562528,-2.524165,1671.591181,234.347289,1:45,6.78269,1.3102,5.89098,-39.32286,7.50489,8.41115,2.98293,-0.33419,71.02719,-7.824614,-1.014528,0.492519,66.88645,48.546739,-80.328896,4065.996845,7.20375,70.03682,-109.76369,205.43436,75.03948,-91.632252,4.093211,-5.02378,4.4337,-1.11154,50,6.71458,4.64028,-112.14567,-2.28109,-6.39934,20.23826,-26.52636,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,3f6935f0-260f-11f0-85e0-e5dc96157d06,76.52992,70.15119,,6.2175,,,,1.09727,2.93889,0.33982,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:05:36.86,2025-04-30T18:05:36.8620544-04:00,2025-04-30T22:05:36.8620544Z,Popup,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,f3de4e83-3fe7-4772-8997-4dd1ebebc255,54.61087,-112.9747,10.11913,6.78577,-1.19447,-13.26318,-1.30699,4.90241,-3.19967,,1.10028,10.84028,-5.01282,0.40088,0.2775,-0.13391,0.0176,0.00116,-0.0003,2.94337,73.4131,-22.6661,1.21962,0.57812,-0.44818,0.13075,-0.0176,0.00088,0.3516,-64.36178,9.76718,-6.42782,5.06034,-2.78421,0.88957,-0.14753,0.00977,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-04-30,18:05:59.41,1,3,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Brown, Ely",1000322118,Left,MER_BEA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8332,-2.974499,-0.246229,1973.630056,201.287776,12:45,7.12356,0.84234,5.93711,-16.71229,21.41096,7.83599,2.96881,1.2669,78.15918,-6.170967,1.161627,0.444392,,,,,,,,,,,,-4.06386,12.21532,-0.82696,50,6.87648,0.21157,-124.46004,-6.90188,-6.33921,26.26705,-13.11941,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,4cb487f0-260f-11f0-85e0-e5dc96157d06,84.81794,,,7.67402,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:05:59.41,2025-04-30T18:05:59.4195968-04:00,2025-04-30T22:05:59.4195968Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,417946e2-7580-4d8c-abf1-a89f07f3a505,54.56163,-125.41907,13.13353,7.11973,-6.42288,-6.5597,-0.83891,0.44302,-3.1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-30,18:06:16.41,1,4,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Brown, Ely",1000322118,Left,MER_BEA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.44577,-1.941651,-2.869199,1801.780537,230.984582,1:45,6.78784,1.18883,6.07356,-34.56305,10.60359,11.3093,2.10792,-0.52599,72.16688,-8.351778,-0.832427,0.483705,,,,,,,,,,,,-6.69445,6.42622,-0.97272,50,6.61872,5.30896,-113.84062,-4.86102,-8.78056,20.9999,-23.74531,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,56f5a730-260f-11f0-85e0-e5dc96157d06,77.92451,,,6.27889,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:06:16.41,2025-04-30T18:06:16.4110000-04:00,2025-04-30T22:06:16.4110000Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,cdc0576e-3363-4185-8acd-fadab09ddcef,54.42922,-114.65475,10.49995,6.78933,-3.94045,-11.87266,-1.18514,5.64937,-4.39028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.49008,,,1.182959,,,,-1.53609,5.11865,-0.88065,72.14516,6.77962,-52.66175,-1.49348,66.84178,-3.88587,5.1868,18.63332,-14.61899,-0.98567,-50.91448,6.12188,High,High,High,,,High,Medium,Medium
5,2025-04-30,18:06:51.11,2,1,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.85442,-0.103706,-0.475906,1934.998726,42.627579,7:30,7.0044,0.93675,5.97732,-71.5963,-10.83418,-11.74953,0.9419,-0.48358,63.03633,-13.130109,-2.600501,0.561032,,,,,,,,,,,,5.92516,-5.01087,-0.89255,50,6.95651,1.18611,-98.66534,-2.14033,5.78731,17.04043,-37.06833,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,6bb256a0-260f-11f0-85e0-e5dc96157d06,67.18408,,,4.81809,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:06:51.11,2025-04-30T18:06:51.1154176-04:00,2025-04-30T22:06:51.1154176Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,8d74633f-a6db-437a-a7af-b8846c973ff0,54.52904,-99.44447,8.52022,7.01562,-0.44548,-18.53417,-0.94073,0.9215,2.89365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,18:07:10.04,2,2,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,66.53199,2.972192,-0.428637,1968.596455,35.616297,7:15,7.05757,0.74887,5.42335,-77.92048,-13.66387,-11.17501,3.35085,-0.58389,61.65423,-11.126101,-2.421146,0.57694,,,,,,,,,,,,5.49154,-7.09193,-0.70283,50,7.26717,1.09718,-96.61516,2.71559,5.18421,15.22718,-38.8691,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,76e269c0-260f-11f0-85e0-e5dc96157d06,65.33168,,,4.87776,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:07:10.04,2025-04-30T18:07:10.0440576-04:00,2025-04-30T22:07:10.0440576Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,21c1952f-d524-4150-afae-dcf9a92f68de,55.08456,-97.41322,7.61359,7.07146,4.75274,-19.43455,-0.75321,0.82547,2.59211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-30,18:07:24.32,2,3,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.43368,-4.416664,-2.577217,2089.795879,195.952558,12:30,7.20145,0.60693,5.79787,-18.82446,19.68383,5.27807,1.51217,-1.3521,78.66114,-7.941702,-1.632504,0.446631,,,,,,,,,,,,-3.37378,11.59264,-0.39804,50,6.82593,5.35189,-123.66779,-10.10834,-5.24957,23.56663,-14.13594,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,7f51af30-260f-11f0-85e0-e5dc96157d06,84.39288,,,6.77254,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:07:24.32,2025-04-30T18:07:24.3282944-04:00,2025-04-30T22:07:24.3282944Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,51a4f94c-a1aa-4658-b751-5c2db3b962b3,54.70295,-124.56078,11.78332,7.1988,-9.5727,-7.06797,-0.6046,5.5508,-2.62478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-30,18:07:38.71,2,4,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.52508,-3.380194,-2.300212,2033.265269,197.412935,12:30,7.22572,0.52827,5.7797,-18.49891,20.79639,6.13115,2.53273,-1.10227,77.65475,-6.867116,-1.20305,0.451172,,,,,,,,,,,,-3.73595,11.88682,-0.342,50,6.93502,4.67222,-122.50819,-7.76396,-5.69899,23.3505,-14.04126,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,87e608d0-260f-11f0-85e0-e5dc96157d06,83.54348,,,6.87033,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:07:38.71,2025-04-30T18:07:38.7115008-04:00,2025-04-30T22:07:38.7115008Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,254d1195-944d-48fa-b0f6-9530de8fff6d,54.72076,-123.40471,11.67525,7.22276,-7.22486,-7.02063,-0.52558,4.89103,-2.8495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-30,18:07:54.55,2,5,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.34107,-3.392863,-2.567687,2061.801401,199.183839,12:45,7.16213,0.63661,5.76106,-18.46371,20.32643,6.62189,2.45849,-1.20321,77.99666,-6.881706,-1.383455,0.448262,,,,,,,,,,,,-4.08744,11.69351,-0.42769,50,6.86921,5.26811,-123.59145,-7.8586,-6.31211,24.99914,-14.11619,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,9157f130-260f-11f0-85e0-e5dc96157d06,84.08571,,,7.34441,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:07:54.55,2025-04-30T18:07:54.5520128-04:00,2025-04-30T22:07:54.5520128Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,e0348a00-e3f8-4305-ab88-ad36f979de99,54.73854,-124.54624,12.49957,7.15906,-7.31947,-7.05809,-0.6335,5.50918,-3.15606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-30,18:08:11.41,2,6,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.02004,-1.759064,-1.695407,1813.441942,241.248082,2:00,6.86198,1.08517,5.94522,-38.45975,7.39886,10.8219,2.02407,0.41388,71.82339,-8.851407,0.252238,0.487396,,,,,,,,,,,,-6.0939,4.69914,-0.95641,50,6.69991,2.96945,-113.29796,-4.62973,-7.90632,21.05771,-26.07733,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,9b82c950-260f-11f0-85e0-e5dc96157d06,77.33434,,,6.19665,,,,,,,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:08:11.41,2025-04-30T18:08:11.4125312-04:00,2025-04-30T22:08:11.4125312Z,,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,ba5b8a9c-4505-4bda-ae5e-62e4d6b5455a,54.55771,-114.14192,10.52886,6.86452,-3.5846,-13.03867,-1.08177,3.28632,-3.95316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-04-30,18:08:31.69,2,7,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.9137,-3.0203,-1.435827,2013.466046,203.489365,12:45,7.20641,0.57535,5.77305,-18.82544,17.92174,7.22315,2.82343,-0.15919,79.73462,-6.584156,-0.14215,0.436298,78.83542,38.767586,59.992633,5038.655566,43.36742,69.37259,101.09031,252.13734,112.99603,75.153173,4.50317,-4.12862,10.44969,-0.46109,50,6.94529,2.88659,-127.36705,-7.28423,-6.71154,28.69902,-15.18696,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,a7977010-260f-11f0-85e0-e5dc96157d06,86.39145,74.12175,,8.17908,,,,1.66536,3.00244,-0.07154,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:08:31.69,2025-04-30T18:08:31.6988928-04:00,2025-04-30T22:08:31.6988928Z,FlyBall,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,8cf66970-85cf-4a9f-840d-8575269e8cd0,54.72668,-128.42767,14.34951,7.20412,-6.72297,-7.59348,-0.57235,3.13463,-3.35577,,1.66678,45.06037,-17.19242,5.10733,-1.33313,0.34968,-0.08849,0.01456,-0.00098,3.00484,72.33686,-20.59637,0.79136,0.59344,-0.40677,0.12485,-0.01841,0.00104,-0.06785,77.98432,-9.45648,0.97501,0.37018,-0.24446,0.05913,-0.00626,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
12,2025-04-30,18:08:56.82,2,8,"McManmon, Quinten",1000194153,Right,GEO_PAN,"Baughcum, Brant",702717,Right,MER_BEA,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.02977,-4.118054,-1.687476,1997.586745,208.302131,1:00,7.19497,0.45683,5.88906,-14.84359,20.54848,10.44312,2.12581,-0.24032,81.53962,-6.944769,0.186391,0.428178,81.13958,40.874618,51.615018,4690.179664,57.5368,76.19585,93.75218,261.38674,125.64571,67.009228,4.765687,-5.85174,12.04434,-0.32693,50,6.85377,3.36967,-129.00272,-9.70436,-9.86215,26.80619,-11.87527,GEO_PAN,MER_BEA,GeorgiaState,D1,SBELT,20250430-GeorgiaState-1,b688d0f0-260f-11f0-85e0-e5dc96157d06,88.02987,83.26804,,7.49015,,,,1.96743,2.39038,-0.03087,9d51dec3-adb5-4313-bed3-706f7242d7bc,2025-04-30,22:08:56.82,2025-04-30T18:08:56.8236032-04:00,2025-04-30T22:08:56.8236032Z,FlyBall,v3,471304,471354,30 April 2025 18:00-mercer@georgiast,"Holley, Jack",1000116340,Right,GEO_PAN,5471ab1a-1e76-4f02-851d-73e31a5603c9,54.61316,-129.95778,13.4031,7.19198,-9.28127,-5.93763,-0.45324,3.72104,-4.93108,217.927862,1.9742,55.73386,-18.35561,4.62252,-0.63411,-0.00847,0.00858,0.00097,-0.00021,2.39323,77.80258,-21.10569,0.76156,0.68104,-0.45082,0.13484,-0.01947,0.00108,-0.02564,70.41818,-7.02629,0.08268,0.76334,-0.398,0.10022,-0.01247,0.00061,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
