PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,18:35:36.61,1,1,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Ashworth, Kyle",1000078273,Left,LON_DIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.27828,-1.137715,-2.639835,2242.378624,213.866406,1:15,5.81628,1.9307,6.07629,-13.47579,18.41284,11.67985,3.63936,0.45977,85.15655,-3.735491,-0.539097,0.406433,80.76075,62.608962,-101.79035,1711.424759,,,,,55.79838,,,-6.79658,10.14036,-1.73278,50,5.72108,5.75127,-135.44578,-3.06618,-12.6259,29.58219,-13.33651,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,953aca80-262c-11f0-aabc-572efba05cdd,92.7395,64.57899,,8.12173,,,,2.10721,2.74635,0.02136,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:35:36.61,2025-04-30T18:35:36.6109184-07:00,2025-05-01T01:35:36.6109184Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,488391b1-a04e-48ce-8d4a-278237c9f28b,54.42298,-136.40836,14.7911,5.81379,-2.63222,-6.66826,-1.92661,6.16211,-6.31295,19.377948,2.10721,-11.13478,-16.54931,3.53397,-0.76219,0.12778,0.02241,-0.0335,0.0098,2.74635,105.16924,-44.31405,8.41403,-2.07872,0.38336,0.08464,-0.1236,0.03777,0.02136,-53.34415,-14.37411,6.45084,-1.9901,0.10531,0.64238,-0.54881,0.15941,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
2,2025-04-30,18:35:54.60,1,2,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Ashworth, Kyle",1000078273,Left,LON_DIR,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.83177,-0.25785,-2.02657,2225.203166,29.514028,7:00,5.82308,1.74664,5.69603,-61.68728,-15.87477,-9.84587,0.44204,-0.96318,72.38193,-11.43952,-3.793498,0.487151,,,,,,,,,,,,4.39878,-7.66713,-1.57007,50,5.76254,4.41823,-114.44406,-2.58471,5.74654,24.072,-42.19032,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,a013bcf0-262c-11f0-aabc-572efba05cdd,77.37326,,,6.44984,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:35:54.60,2025-04-30T18:35:54.6083840-07:00,2025-05-01T01:35:54.6083840Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,5997b9a9-4888-4180-a598-d3a4c614cb06,54.80665,-115.45065,12.036,5.83373,-0.82048,-21.09516,-1.74979,4.17793,2.87327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-30,18:36:08.10,1,3,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Ashworth, Kyle",1000078273,Left,LON_DIR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,93.67657,-2.753919,-3.032204,2303.381732,203.869998,12:45,5.71,1.90227,6.16662,-11.58997,19.97485,8.39335,2.19491,-0.20168,85.66029,-5.006187,-1.521152,0.404365,103.69644,7.411996,-0.078101,1351.009664,109.92197,8.02211,-4.1426,180.6751,180.6751,-3.665554,1.404663,-5.21118,11.43505,-1.67675,50,5.49505,6.8472,-135.87465,-6.83837,-9.74995,29.5463,-10.7795,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,a7ff7a80-262c-11f0-aabc-572efba05cdd,93.21401,8.38593,,8.01628,,,,2.28404,2.27143,0.18207,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:36:08.10,2025-04-30T18:36:08.1026560-07:00,2025-05-01T01:36:08.1026560Z,LineDrive,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,cdbd71a2-c443-42c0-aaba-095a3be22212,54.33271,-136.81357,14.77315,5.70691,-6.49582,-5.38975,-1.89926,7.15703,-4.87497,107.987241,2.28404,150.8169,-22.19007,4.70652,-1.03817,0.22966,-0.0499,0.00881,-0.00085,2.27143,19.61982,-16.34221,1.05233,-0.15981,0.02505,-0.00275,0.00037,-3E-05,0.18207,-0.20559,-8.08069,2.23184,-0.58646,0.14637,-0.03402,0.00624,-0.00061,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-30,18:36:49.61,2,1,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,91.82396,-5.20896,-6.458279,2194.662531,214.444086,1:15,5.64945,2.00111,6.33723,-14.24654,18.83194,12.17449,-0.37762,-2.95579,84.19442,-7.933367,-4.277066,0.413947,,,,,,,,,,,,-8.27815,11.66379,-1.53542,50,5.26036,14.51261,-132.2455,-12.52046,-14.68746,27.70836,-11.47968,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,c0aaf050-262c-11f0-aabc-572efba05cdd,91.05628,,,7.62954,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:36:49.61,2025-04-30T18:36:49.6105472-07:00,2025-05-01T01:36:49.6105472Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,b2d4d5d4-4845-40f1-91e4-108ebebe4e8f,54.16487,-133.11527,13.85418,5.64772,-12.16011,-5.73984,-1.99821,14.97366,-7.34373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-30,18:37:52.67,3,1,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Cadena, Nathan",1000125191,Right,LON_DIR,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.99396,-2.223729,-3.498403,2234.713423,125.707579,10:15,5.66461,2.0579,6.20669,-34.1536,5.93134,-6.17496,0.76116,-1.68965,75.90546,-8.573695,-4.611046,0.455682,,,,,,,,,,,,1.99988,4.27264,-1.79208,50,5.48056,7.66812,-121.55438,-5.77806,2.92538,28.78558,-25.92416,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,e6654b60-262c-11f0-aabc-572efba05cdd,82.71654,,,8.0885,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:37:52.67,2025-04-30T18:37:52.6746624-07:00,2025-05-01T01:37:52.6746624Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,c39934fe-0760-4de9-a726-1b31f88c15bb,54.28907,-122.56588,14.39279,5.66759,-4.86712,-12.96208,-2.05972,7.56533,1.46269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,18:38:14.17,3,2,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Cadena, Nathan",1000125191,Right,LON_DIR,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.29675,-1.413861,-2.823476,2430.226755,106.371831,9:30,5.65576,1.85407,5.97289,-36.57018,4.27248,-9.60087,1.29566,-1.56565,75.59979,-8.174767,-4.54737,0.459969,,,,,,,,,,,,4.00764,3.08666,-1.62522,50,5.52369,6.32855,-120.69318,-4.15795,5.80971,27.26519,-27.69948,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,f32cee70-262c-11f0-aabc-572efba05cdd,81.94565,,,7.69696,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:38:14.17,2025-04-30T18:38:14.1734912-07:00,2025-05-01T01:38:14.1734912Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,5d6f07ae-eea5-4b0c-b39c-9e8a3eae405c,54.52373,-121.71082,13.6326,5.65959,-3.1241,-13.84974,-1.85738,6.11171,2.90486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-30,18:38:35.30,3,3,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Cadena, Nathan",1000125191,Right,LON_DIR,Undefined,1,Top,0,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.05682,-0.556769,-3.468482,2331.650641,73.247199,8:30,5.5903,1.92449,5.96379,-44.86002,-2.48366,-13.40186,1.33475,-2.4123,74.25272,-8.807842,-5.871591,0.468525,,,,,,,,,,,,5.6352,-0.57047,-1.64205,50,5.52182,7.72952,-118.8013,-2.63593,7.8649,27.73062,-32.97024,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,ffd067b0-262c-11f0-aabc-572efba05cdd,80.44908,,,7.80411,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:38:35.30,2025-04-30T18:38:35.3061888-07:00,2025-05-01T01:38:35.3061888Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,800c0dcb-aed5-47ca-b51e-ada98b782fc8,54.53243,-119.85459,13.86531,5.59816,-1.38362,-16.48512,-1.92996,7.43079,3.93245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-30,18:39:28.74,4,1,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Charpiot, Connor",10176030,Right,LON_DIR,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.54301,-1.382231,-1.338707,2122.096056,65.213191,8:15,5.6271,1.99116,5.81575,-48.14455,-4.74181,-13.97198,0.32925,-0.41813,73.33527,-10.214755,-3.84987,0.474165,,,,,,,,,,,,6.65744,-1.44787,-1.87314,50,5.48566,3.30851,-118.11075,-4.46042,9.09654,29.34947,-34.15239,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,1fa5d1b0-262d-11f0-aabc-572efba05cdd,79.49216,,,8.20774,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:39:28.74,2025-04-30T18:39:28.7468032-07:00,2025-05-01T01:39:28.7468032Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,38f132fd-f0b2-4451-913a-3b5eff9ca32b,54.68129,-119.26833,14.67473,5.63502,-3.1134,-17.0762,-1.99656,2.94972,4.54827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-30,18:39:59.93,4,2,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Charpiot, Connor",10176030,Right,LON_DIR,Undefined,1,Top,1,1,0,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,3,,81.37545,0.741563,-1.071465,2207.397916,98.453232,9:15,5.62099,2.08925,5.87755,-39.37577,2.90457,-10.56638,3.02854,0.21351,74.49903,-6.530838,-2.967791,0.467994,100.08283,27.468263,-15.197312,2665.341906,106.19946,55.20095,-28.66422,411.02691,402.28083,-14.539221,5.204189,5.12622,1.64917,-1.99643,50,5.65804,2.61322,-118.21439,0.26458,7.22802,23.28827,-29.84866,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,3239d4c0-262d-11f0-aabc-572efba05cdd,80.54035,85.38249,,6.87642,,,,1.82955,3.06631,-0.23787,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:39:59.93,2025-04-30T18:39:59.9397888-07:00,2025-05-01T01:39:59.9397888Z,FlyBall,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,083a4c93-a933-4b1f-a618-52b5f3b9728d,54.62162,-119.12137,11.64413,5.6251,1.42706,-14.92433,-2.09273,2.33172,3.61401,178.771764,1.83261,125.6262,-22.79864,5.25025,-0.95332,0.14069,-0.01813,0.00189,-0.0001,3.06507,67.72482,-14.57346,0.07514,0.23618,-0.12635,0.03507,-0.00476,0.00025,-0.23847,-34.13111,5.91876,-1.15322,0.17736,-0.02388,0.00378,-0.00052,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-30,18:40:46.65,5,1,"Halvorson, Wyatt",1000308282,Right,ARI_SUN,"Toomey, Matthew",1000261909,Left,LON_DIR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.8419,-4.355381,-4.103376,2266.651196,208.322394,1:00,5.8001,1.83105,6.11616,-12.35993,19.7134,9.99705,0.72516,-1.13617,84.87721,-6.758974,-2.308409,0.407609,,,,,,,,,,,,-6.42178,11.85835,-1.52118,50,5.45838,9.28643,-135.52715,-10.65528,-11.81204,32.67233,-10.36207,ARI_SUN,LON_DIR,PhoenixMunicipal,D1,BIG12,20250430-PhoenixMunicipal-1,4dfd6000-262d-11f0-aabc-572efba05cdd,92.4721,,,8.96468,,,,,,,0f12b791-8c50-483a-b048-794631e77b2f,2025-05-01,01:40:46.65,2025-04-30T18:40:46.6548736-07:00,2025-05-01T01:40:46.6548736Z,,v3,5035,471255,30 April 2025 21:30-longbeach@arizonast,"Briggs, Brody",806486,Right,ARI_SUN,ad1eae9a-ce66-4c45-9e5f-96df4aa7714b,54.38037,-136.57907,16.33617,5.79607,-10.32166,-5.18104,-1.82629,9.66673,-5.90602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
