PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,18:02:16.28,1,1,"Boaz, Folger",10057367,Left,NOR_TAR,"Brown, Ryan",828304,Right,QUN_RYL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.9557,-0.220885,2.457496,2191.757328,135.463022,10:30,5.37295,-1.82811,5.73986,-19.79375,13.56048,-12.26914,3.51761,-0.56097,83.62672,-3.947966,0.263805,0.415668,83.33273,74.201817,22.836397,,,,,,26.91125,,,6.98319,7.29481,1.63139,50,5.3426,-5.18644,-133.43483,-1.17307,12.54031,29.77419,-19.07418,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,c7a5e0e0-260e-11f0-b128-9b3afe7030ee,90.6791,119.31061,,8.32898,,,,1.00731,3.32843,-1.0494,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:02:16.28,2025-04-30T18:02:16.2820000-04:00,2025-04-30T22:02:16.2820000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,c3a49b39-ff38-48fd-889e-80353a33bbf8,54.75687,-134.49207,14.8871,5.37222,-0.49577,-9.53709,1.82346,-5.63173,6.27016,,1.00734,30.66163,-16.14593,5.13307,-0.80096,0.06875,-0.18703,0.14742,-0.03407,3.32843,117.60564,-29.23091,3.62715,-0.79111,0.25967,-0.07737,0.00678,0.00157,-1.0494,12.91352,-2.79658,0.72192,-0.11608,0.02152,-0.02497,0.01616,-0.00351,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
2,2025-04-30,18:02:49.59,2,1,"Boaz, Folger",10057367,Left,NOR_TAR,"Barbour, Jake",10072107,Left,QUN_RYL,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,Popup,Error,0,0,,92.20928,-1.797157,3.208287,2107.739734,131.989261,10:30,5.45424,-1.6514,5.70567,-22.73422,10.62182,-10.55308,1.88215,0.46145,83.88197,-6.035153,1.323439,0.41568,62.4667,54.664742,-29.508847,,86.44349,66.81555,-68.02577,152.41136,146.68805,-39.148404,4.475981,6.33847,6.26272,1.38919,50,5.28944,-7.02243,-133.61706,-4.99335,11.38967,30.41767,-20.92051,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,db6d0cc0-260e-11f0-b128-9b3afe7030ee,90.67667,77.54298,,8.32731,,,,1.21457,2.17667,-0.53419,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:02:49.59,2025-04-30T18:02:49.5980000-04:00,2025-04-30T22:02:49.5980000Z,Popup,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,e1b937b8-7d38-46f3-91f7-49ba49a2bb81,54.79086,-134.70328,15.20884,5.45442,-4.24628,-10.46025,1.64722,-7.42915,5.69483,159.958497,1.21642,46.05719,-11.8901,2.94856,-0.05734,-0.28203,0.10606,-0.01645,0.00095,2.17362,74.80883,-21.40216,2.09056,-0.55624,0.12533,-0.00975,-0.00149,0.00021,-0.534,-26.1051,1.55136,-0.1078,0.01936,-0.02804,0.01229,-0.00222,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-04-30,18:04:46.74,3,1,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.41546,0.546741,1.991814,2335.256261,321.526149,4:45,5.30687,-1.81984,5.43774,-51.49873,-5.26028,5.3128,1.52759,0.48873,72.22845,-8.805928,2.938233,0.48941,,,,,,,,,,,,-2.13303,-2.44602,1.63977,50,5.31923,-4.16344,-113.85129,-0.66156,-2.79523,21.21388,-35.37946,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,21504900-260f-11f0-b128-9b3afe7030ee,77.01603,,,6.187,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:04:46.74,2025-04-30T18:04:46.7460000-04:00,2025-04-30T22:04:46.7460000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,f6fd59d6-22ad-4478-a328-65264709269f,55.06157,-114.79053,10.60694,5.31384,0.90487,-17.68973,1.82137,-4.03968,-1.39761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-30,18:05:07.92,3,2,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.42905,-1.724185,2.602108,2276.407645,140.325132,10:45,5.31813,-1.90574,5.40566,-19.32698,14.97643,-11.4539,2.08995,-0.42056,83.03013,-5.346692,0.566748,0.421541,,,,,,,,,,,,6.50815,8.3756,1.68224,50,5.15134,-5.48767,-132.46302,-4.65445,11.49516,29.85445,-17.38046,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,2de34780-260f-11f0-b128-9b3afe7030ee,89.41578,,,8.39892,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:05:07.92,2025-04-30T18:05:07.9290000-04:00,2025-04-30T22:05:07.9290000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,ad041a57-d3ce-4dd8-81d3-24f3d1b88c4c,55.08926,-133.60511,14.92722,5.31668,-3.98956,-8.69023,1.90058,-5.92742,5.74758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-30,18:05:25.75,3,3,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.64773,0.335573,3.186457,2324.763556,144.717468,10:45,5.43982,-1.8153,5.59168,-19.43332,14.27989,-9.34623,4.13418,0.38407,83.50661,-3.314246,1.52232,0.417899,,,,,,,,,,,,5.58851,7.44622,1.54789,50,5.45616,-6.96977,-132.87867,0.12631,9.99332,28.43308,-18.85878,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,38791670-260f-11f0-b128-9b3afe7030ee,90.19505,,,8.14112,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:05:25.75,2025-04-30T18:05:25.7540000-04:00,2025-04-30T22:05:25.7540000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,1c253ea5-3780-484e-8268-892d577bdff7,54.90338,-133.92377,14.21654,5.43877,0.81949,-9.42939,1.81082,-7.33709,4.99666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,18:05:46.65,3,4,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.53903,-2.579247,3.657828,2120.650863,108.435122,9:30,5.09663,-1.91695,5.6486,-31.80911,7.08414,-17.31651,0.0337,0.05627,78.15574,-8.431191,0.565392,0.448858,,,,,,,,,,,,9.96512,4.71272,1.61816,50,4.85717,-7.21518,-123.86377,-6.67436,15.38854,26.12637,-24.89647,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,45081d50-260f-11f0-b128-9b3afe7030ee,83.97417,,,7.38328,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:05:46.65,2025-04-30T18:05:46.6500000-04:00,2025-04-30T22:05:46.6500000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,174e59f7-49c1-4694-977a-2a700ca102fb,54.84976,-124.88253,13.06319,5.0985,-5.70356,-12.44823,1.9112,-7.81524,7.69427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-30,18:06:11.58,3,5,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.23436,0.321022,2.24234,2457.448889,305.268396,4:15,5.26566,-2.01969,4.98797,-51.02676,-5.92709,10.40249,1.31678,0.96553,73.69396,-8.865534,4.078879,0.483346,,,,,,,,,,,,-4.54772,-2.7054,1.79464,50,5.25452,-4.98492,-116.35873,-1.22772,-6.20207,22.90761,-35.8636,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,53e9c6c0-260f-11f0-b128-9b3afe7030ee,77.98233,,,6.5404,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:06:11.58,2025-04-30T18:06:11.5890000-04:00,2025-04-30T22:06:11.5890000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,09cae373-cc53-4052-981c-ffab386c583e,55.51142,-117.43876,11.45381,5.27255,0.46313,-17.9318,2.02277,-4.69251,-3.10103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-30,18:06:41.07,3,6,"Boaz, Folger",10057367,Left,NOR_TAR,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,2,2,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,92.6141,-2.17385,5.445816,2370.862489,130.969627,10:15,5.24801,-1.78002,5.72959,-19.7093,13.58556,-14.30391,1.57095,2.11488,83.91882,-5.878523,2.902668,0.415298,,,,,,,,,,,,8.903,7.90111,1.33376,50,5.05399,-12.10723,-133.75392,-5.75665,16.00924,30.83805,-17.96639,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,656729b0-260f-11f0-b128-9b3afe7030ee,90.75993,,,8.69527,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:06:41.07,2025-04-30T18:06:41.0710000-04:00,2025-04-30T22:06:41.0710000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,86aaa0df-ca36-424a-ab4d-fc1b958a85e3,54.7662,-134.84833,15.41903,5.24698,-5.11905,-8.9832,1.77351,-12.67538,8.00462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-30,18:07:17.25,4,1,"Boaz, Folger",10057367,Left,NOR_TAR,"Schmitt, Logan",1000024952,Right,QUN_RYL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.53633,-3.551867,2.46693,2319.895592,144.170262,10:45,5.34787,-1.90058,5.64978,-18.10426,16.238,-10.79241,0.51914,-0.49769,82.46579,-6.976408,0.539522,0.42178,,,,,,,,,,,,6.30941,9.78367,1.69855,50,5.03517,-5.22129,-132.36736,-8.8008,11.00099,32.80133,-15.11538,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,7af5a810-260f-11f0-b128-9b3afe7030ee,89.3652,,,9.07053,,,,,,,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:07:17.25,2025-04-30T18:07:17.2560000-04:00,2025-04-30T22:07:17.2560000Z,,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,94d91ff6-8322-4eb5-8181-661b5797b8fc,54.84521,-133.56264,16.40067,5.34583,-8.25,-7.55769,1.89612,-5.62216,5.5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-30,18:07:37.61,4,2,"Boaz, Folger",10057367,Left,NOR_TAR,"Schmitt, Logan",1000024952,Right,QUN_RYL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.71199,-1.8988,2.957045,2343.626329,149.865911,11:00,5.32244,-1.77275,5.59099,-17.66973,15.7267,-8.42532,2.07405,0.28857,83.58486,-5.246866,1.455772,0.415931,70.96393,26.617003,51.645844,4157.449452,61.63614,35.78321,91.10916,210.35427,148.65561,61.146311,3.128159,5.22087,8.92016,1.52463,50,5.14824,-6.54814,-134.21336,-5.03259,9.3882,32.88411,-16.13368,NOR_TAR,QUN_RYL,UNC,D1,ACC,20250430-UNC-1,87152440-260f-11f0-b128-9b3afe7030ee,90.62179,35.87052,,9.12713,,,,1.27288,2.26384,-0.51549,162d04f9-21d4-48f1-9e39-881f204db5d1,2025-04-30,22:07:37.61,2025-04-30T18:07:37.6100000-04:00,2025-04-30T22:07:37.6100000Z,FlyBall,v3,471370,queensnc,30 April 2025 18:00-queensnc@unc,"Stevenson, Luke",806233,Right,NOR_TAR,ddf79915-380c-4512-9204-60431d9dcb7f,54.90389,-135.40955,16.44205,5.32063,-4.44571,-8.06684,1.76904,-6.88965,4.6941,,1.27297,57.73574,-13.99393,3.01387,-0.53272,0.04726,0.00999,-0.00422,0.00045,2.26375,46.6337,-17.56979,1.23612,-0.28679,0.09753,-0.03247,0.00688,-0.00061,-0.51544,72.96699,-7.63457,1.67256,-0.3035,0.0307,0.00402,-0.00203,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
