PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:38:47.86,1,1,"Negrete, Mikiah",800626,Left,CAL_FUL,"Esquer, Xavier",805022,Right,SAN_GAU,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.46032,-2.220143,0.95862,2202.85765,140.205681,10:45,6.09538,-0.62448,5.29704,-16.48383,21.13533,-16.53257,2.63596,-1.10209,79.46204,-5.346346,-1.976064,0.441444,,,,,,,,,,,,8.52103,11.59843,0.54967,50,5.8819,-1.37332,-126.76248,-5.41081,13.7773,27.43873,-13.42099,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,5bfd5050-27bf-11f0-a6ac-a9a522b4135d,85.38433,,,7.99828,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:38:47.86,2025-05-02T18:38:47.8605312-07:00,2025-05-03T01:38:47.8605312Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,f46b3af4-03dd-41e5-be62-3aea77fbf2ff,55.20041,-127.8832,13.71937,6.09171,-4.86264,-6.7105,0.61725,-1.93605,6.88865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:39:04.75,1,2,"Negrete, Mikiah",800626,Left,CAL_FUL,"Esquer, Xavier",805022,Right,SAN_GAU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.33177,-3.351992,1.783085,2240.722383,139.88211,10:45,5.93811,-0.79814,5.43973,-15.81269,20.75348,-16.46997,1.47653,-0.50045,80.72237,-6.342979,-1.147677,0.435222,,,,,,,,,,,,8.85371,11.78264,0.6524,50,5.63076,-3.26983,-128.00135,-7.98172,14.67037,26.73418,-12.65047,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,664eea50-27bf-11f0-a6ac-a9a522b4135d,86.60503,,,7.6094,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:39:04.75,2025-05-02T18:39:04.7583744-07:00,2025-05-03T01:39:04.7583744Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,194e6a1a-04f8-476d-9ba4-96d5763fac4f,55.06053,-129.05395,13.36709,5.93522,-7.48363,-6.32524,0.79251,-3.84745,7.33518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,18:39:23.34,1,3,"Negrete, Mikiah",800626,Left,CAL_FUL,"Esquer, Xavier",805022,Right,SAN_GAU,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.82228,0.003767,-0.025345,2713.87008,218.811649,1:15,6.01578,-0.70544,4.97652,-37.11376,6.51693,4.28799,2.92653,-0.37204,75.10004,-6.717328,0.731996,0.475409,96.66245,36.626212,-10.918828,3658.063285,108.16146,80.38668,-20.02621,367.93985,363.19788,-8.484164,5.896868,-2.1476,3.56977,0.70416,50,5.98561,-0.12543,-117.47379,-1.33419,-3.04442,19.23964,-27.11355,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,714d3f10-27bf-11f0-a6ac-a9a522b4135d,79.2842,117.0742,,5.72224,,,,1.10483,2.94879,0.33691,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:39:23.34,2025-05-02T18:39:23.3451008-07:00,2025-05-03T01:39:23.3451008Z,FlyBall,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,e111ab98-e0c7-4acc-8ca0-0e0ae950cc87,55.52479,-118.37517,9.61982,6.01836,-0.06391,-13.55677,0.70669,0.0172,-1.52221,179.546601,1.11068,111.60254,-23.76269,5.54157,-0.7507,0.00313,0.01729,-0.00246,0.00011,2.94302,84.67857,-17.28217,0.86632,-0.21733,0.05653,-0.0064,0.00012,1E-05,0.33489,-21.51704,4.41098,-0.61102,-0.01383,0.03159,-0.00707,0.00069,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-02,18:40:00.76,2,1,"Negrete, Mikiah",800626,Left,CAL_FUL,"McCollum, LeTrey",701742,Right,SAN_GAU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81112,-1.125808,0.995586,2163.130523,135.989233,10:30,5.9753,-0.84918,5.44118,-19.80934,17.28284,-15.48036,3.27007,-1.2069,79.72834,-4.855175,-1.759916,0.438342,,,,,,,,,,,,8.03658,9.3893,0.77195,50,5.86242,-1.51799,-127.35664,-3.13706,13.11003,27.80887,-16.85735,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,877f0250-27bf-11f0-a6ac-a9a522b4135d,85.98873,,,8.08278,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:40:00.76,2025-05-02T18:40:00.7623680-07:00,2025-05-03T01:40:00.7623680Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,fecce3b2-0089-4872-9d1d-6370d141acca,55.05585,-128.45586,13.90444,5.97325,-2.47073,-8.42867,0.84219,-2.0362,6.55502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,18:40:17.72,2,2,"Negrete, Mikiah",800626,Left,CAL_FUL,"McCollum, LeTrey",701742,Right,SAN_GAU,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3495,-3.139591,1.973509,2217.915956,135.161589,10:30,5.82637,-0.96031,5.35232,-18.78288,17.95202,-16.62891,1.31178,-0.49436,80.63602,-6.654302,-0.981292,0.436225,,,,,,,,,,,,9.00406,10.30611,0.79536,50,5.53056,-3.68657,-128.00404,-7.64363,14.8879,27.26844,-15.13329,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,91a4aa50-27bf-11f0-a6ac-a9a522b4135d,86.40592,,,7.71347,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:40:17.72,2025-05-02T18:40:17.7214976-07:00,2025-05-03T01:40:17.7214976Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,ca3233d9-2f8f-49c7-940f-38f43a907cd2,55.14821,-129.0961,13.63422,5.82454,-7.03757,-7.56664,0.95494,-4.28281,7.44395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,18:40:35.82,2,3,"Negrete, Mikiah",800626,Left,CAL_FUL,"McCollum, LeTrey",701742,Right,SAN_GAU,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.13091,-2.054126,2.617826,2226.932627,146.143155,10:45,5.7581,-1.13095,5.44831,-15.1945,21.54875,-13.63591,2.56592,0.18533,80.25697,-4.95441,0.193678,0.436275,108.23766,18.450017,-13.231141,1720.815631,106.94649,34.78837,-25.73787,425.19745,392.22845,-13.986861,4.203073,7.66122,11.82894,0.90956,50,5.56658,-5.24823,-127.74403,-5.03372,12.62382,27.00843,-12.68281,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,9c720400-27bf-11f0-a6ac-a9a522b4135d,86.39609,52.56788,,7.87394,,,,1.63819,2.60628,-0.19965,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:40:35.82,2025-05-02T18:40:35.8263808-07:00,2025-05-03T01:40:35.8263808Z,LineDrive,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,8d7d619b-792f-4316-9d86-c09e3863d7ad,55.05136,-128.8076,13.50421,5.75497,-4.53429,-6.3414,1.12602,-5.74533,6.31191,171.288208,1.63756,146.60665,-23.50417,5.54989,-1.29635,0.30172,-0.05877,0.00729,-0.00039,2.60715,50.21902,-12.64489,-0.35968,0.37976,-0.15788,0.0398,-0.00516,0.00026,-0.1993,-34.47561,3.81197,-0.50521,0.08895,-0.03377,0.0102,-0.00155,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-05-02,18:41:24.96,3,1,"Negrete, Mikiah",800626,Left,CAL_FUL,"Vargas, Nathan",1000119588,Left,SAN_GAU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.34739,-1.178859,2.694547,2178.86423,145.460101,10:45,5.99532,-0.84348,5.48116,-16.753,21.08588,-13.54524,3.49485,0.55078,78.46634,-4.397375,0.285334,0.442732,75.7106,57.002089,24.248662,,95.94567,117.76983,53.7997,199.78597,90.00973,31.531947,5.459463,7.73256,11.42379,0.6166,50,5.8811,-5.36025,-126.46392,-3.08851,12.31241,29.82993,-13.9842,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,b9c07500-27bf-11f0-a6ac-a9a522b4135d,85.13606,117.80681,,8.88105,,,,2.86074,4.09582,-0.35885,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:41:24.96,2025-05-02T18:41:24.9616896-07:00,2025-05-03T01:41:24.9616896Z,Popup,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,e797a691-ef80-444f-910b-ca11b5b5ba53,55.01626,-127.64166,14.91497,5.99214,-2.53639,-6.9921,0.83783,-5.84637,6.15621,193.482807,2.86734,55.00316,-12.78161,2.7697,-0.10419,-0.12414,0.03622,-0.00422,0.00018,4.09136,93.20068,-22.95204,2.35167,-0.40003,0.003,0.01836,-0.00379,0.00024,-0.35726,24.80898,-2.10168,0.24948,0.04404,-0.02483,0.00369,-0.00012,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-05-02,18:41:58.47,4,1,"Negrete, Mikiah",800626,Left,CAL_FUL,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.53061,0.360174,0.214328,2706.185995,214.257454,1:15,6.07822,-0.69324,5.01711,-34.70309,10.61993,6.08331,3.52622,0.01597,72.41498,-6.039257,1.288947,0.484541,,,,,,,,,,,,-2.91197,5.64296,0.66765,50,6.08558,-0.7023,-116.56116,-0.47397,-3.93437,25.57477,-24.54984,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,cdae14a0-27bf-11f0-a6ac-a9a522b4135d,77.78994,,,8.11563,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:41:58.47,2025-05-02T18:41:58.4781824-07:00,2025-05-03T01:41:58.4781824Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,a06fbbe6-cb25-4d27-bcf1-28641b7c53f1,55.47649,-117.75662,12.78739,6.08092,0.6736,-12.27492,0.69618,-0.51839,-1.96719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:42:16.11,4,2,"Negrete, Mikiah",800626,Left,CAL_FUL,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.3366,-2.140254,0.646628,2611.456343,215.212815,1:15,6.08719,-0.51153,5.18523,-35.87679,9.26268,5.38122,1.08279,0.5453,72.91834,-8.707036,1.601536,0.483559,,,,,,,,,,,,-2.49063,5.7691,0.44714,50,5.86145,-1.53408,-116.33064,-5.57084,-3.36062,24.94938,-24.38984,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,d84f0720-27bf-11f0-a6ac-a9a522b4135d,77.94793,,,7.41826,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:42:16.11,2025-05-02T18:42:16.1119232-07:00,2025-05-03T01:42:16.1119232Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,0513da37-0c78-4baa-844a-2916819a95f1,55.31224,-117.46443,12.47469,6.08942,-4.46247,-12.19492,0.51339,-1.38136,-1.68031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:42:35.62,4,3,"Negrete, Mikiah",800626,Left,CAL_FUL,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.74771,-0.059619,1.069101,2747.759012,246.490124,2:15,6.12437,-0.45906,4.93919,-39.8964,5.39528,8.5004,2.74332,1.25985,72.713,-7.34893,2.568935,0.484374,,,,,,,,,,,,-3.79536,3.22162,0.34789,50,6.08632,-2.55668,-116.84034,-1.57439,-5.14337,26.05322,-27.80818,CAL_FUL,SAN_GAU,GoodwinField,D1,BW,20250502-GoodwinField-1,e3d6d730-27bf-11f0-a6ac-a9a522b4135d,77.81686,,,8.03471,,,,,,,6f4877e9-51be-4f3c-baf8-3c2019887897,2025-05-03,01:42:35.62,2025-05-02T18:42:35.6291584-07:00,2025-05-03T01:42:35.6291584Z,,v3,471254,471258,02 May 2025 21:30-ucsb@calstfull,"Ortega, Max",703672,Right,CAL_FUL,58927d2a-793f-4705-8a39-e351d2cb5088,55.55493,-118.07249,13.02661,6.12968,-0.25925,-13.90409,0.46305,-2.31343,-2.57169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
