PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,Runner1st,Runner2nd,Runner3rd,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/8/25,05:03.6,1,1,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,,,,0,0,,92.34973,-1.628837,-2.059321,2404.56658,234.199731,1:45,5.44772,1.9726,5.35892,-20.71249,12.79698,16.23351,2.1927,1.39325,84.27134,-5.479776,0.825146,0.416635,,,,,,,,,,,,-8.67989,7.20252,-1.79917,50,5.28667,4.04599,-133.92224,-4.56039,-15.74365,29.26569,-19.11004,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,b76af260-14de-11f0-bb05-4723fefb779e,90.46884,,,8.07839,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,05:03.6,2025-04-08T18:05:03.6355584-07:00,2025-04-09T01:05:03.6355584Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,db7fff30-51a2-4b49-b934-e588f5d0bb2c,55.14198,-135.04123,14.63285,5.44707,-3.82971,-9.55502,-1.96538,4.64796,-7.87182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/8/25,05:18.4,1,2,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,,,,0,0,,92.71677,-1.315949,-3.834361,2314.954367,240.828632,2:00,5.54709,1.9436,5.35115,-21.86155,11.60835,18.75328,2.48799,-0.09553,84.15757,-5.381203,-0.510023,0.416388,80.99129,41.072893,-34.706484,4162.775291,80.43103,73.43523,-75.0384,263.10755,164.21592,-51.80148,4.501186,-10.55115,6.54122,-1.61192,50,5.413,8.1167,-134.233,-3.89439,-19.14196,30.59739,-20.30695,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,c04cf6d0-14de-11f0-bb05-4723fefb779e,90.52231,79.79624,,8.5592,,,,0.75056,3.38684,-1.77364,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,05:18.3,2025-04-08T18:05:18.3500800-07:00,2025-04-09T01:05:18.3500800Z,FlyBall,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,2c461ce0-eade-4124-8e43-41bf4e7b1bb4,55.15091,-135.40202,15.29869,5.54697,-3.11853,-10.15347,-1.936,8.84804,-9.57098,133.132055,0.72883,74.11738,-20.54325,8.8138,-4.85984,2.12851,-0.5724,0.08117,-0.0046,3.38277,78.14723,-23.7687,3.22107,-1.3443,0.56624,-0.15586,0.02354,-0.00146,-1.78028,-50.85007,-0.91232,2.04562,-1.06496,0.35121,-0.06506,0.00524,-7.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,4/8/25,06:03.5,1,3,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,,,,0,0,,92.79327,-0.336609,-2.10681,2381.61257,234.189286,1:45,5.50635,1.78414,5.38387,-18.67603,14.9628,19.01556,3.63426,1.39295,83.27162,-3.869102,1.272147,0.417438,,,,,,,,,,,,-10.11646,7.95036,-1.60902,50,5.46349,4.01501,-134.37909,-1.42517,-18.18929,33.65694,-17.87935,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,db17ca30-14de-11f0-bb05-4723fefb779e,90.29473,,,9.52165,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,06:03.5,2025-04-08T18:06:03.4696704-07:00,2025-04-09T01:06:03.4696704Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,06383791-5cdf-4283-af3a-58f96713140f,55.11409,-135.65393,16.82847,5.50465,-0.74795,-8.93968,-1.77415,4.70398,-9.09465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/8/25,06:18.8,1,4,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,,,,0,0,,92.10802,-2.304454,-2.345444,2317.602171,242.686966,2:00,5.50457,1.737,5.12316,-22.95419,11.58008,19.92848,1.41804,1.18718,82.92916,-6.559695,1.181188,0.422957,,,,,,,,,,,,-10.57938,6.87764,-1.53227,50,5.27038,4.47264,-133.21878,-6.23216,-18.701,32.98829,-20.01654,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,e44137e0-14de-11f0-bb05-4723fefb779e,89.11642,,,9.17886,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,06:18.8,2025-04-08T18:06:18.8448256-07:00,2025-04-09T01:06:18.8448256Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,a2da217c-ec54-4368-a763-cce5d5a6e211,55.37553,-134.54331,16.49415,5.50448,-5.42846,-10.00827,-1.72693,5.22352,-9.3505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/8/25,06:34.0,1,5,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,,,,0,0,,80.53101,2.597181,0.081976,2236.845328,66.768175,8:15,5.28505,1.88295,4.67369,-50.25105,-4.33327,-13.98213,3.56594,0.79563,72.48141,-6.490593,-2.371279,0.48771,,,,,,,,,,,,6.79559,-2.40937,-1.87799,50,5.50456,0.46683,-116.47785,3.32405,9.1765,25.36155,-35.42758,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,ed512a20-14de-11f0-bb05-4723fefb779e,77.28449,,,8.0496,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,06:34.0,2025-04-08T18:06:33.9840512-07:00,2025-04-09T01:06:33.9840512Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,e55a162d-81f4-413c-95a8-5dc55e5074ab,55.82627,-117.73961,12.68078,5.29534,5.0866,-17.71379,-1.88986,0.01029,4.58825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/8/25,06:50.2,1,6,"Palencia, Fernando",832124,Right,SAN_TOR,"Hackworth, Patrick",801575,Left,CSD_TRI,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,,,,1,0,,92.3921,-1.560825,-2.476153,2376.876479,238.66996,2:00,5.44852,1.76157,5.14626,-22.27186,11.86741,17.47501,2.1212,0.88495,83.39149,-5.696977,0.615919,0.420531,67.72475,-27.453918,26.512882,,,,,5.42949,5.42949,10.185215,0.046674,-9.49804,6.75189,-1.54386,50,5.2856,4.94491,-133.75931,-4.48557,-16.98205,32.38221,-20.10198,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,f7137c70-14de-11f0-bb05-4723fefb779e,89.63051,2.14448,,9.00061,,,,1.6504,2.14448,-0.88246,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,06:50.2,2025-04-08T18:06:50.2267904-07:00,2025-04-09T01:06:50.2267904Z,GroundBall,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,3c5dddd1-a889-40ed-bcf8-0685ada4842e,55.35453,-135.04938,16.19111,5.44835,-3.68472,-10.05099,-1.75434,5.62145,-8.49102,,1.64843,79.13509,,,,,,,,2.14562,-45.94624,,,,,,,,-0.88344,39.47752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,4/8/25,07:21.5,2,1,"Palencia, Fernando",832124,Right,SAN_TOR,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,,,,0,0,,92.28773,-0.675909,-3.697612,2372.351047,240.389463,2:00,5.62417,1.80116,5.23992,-21.94844,11.96217,19.01804,3.15848,-0.09427,83.68496,-4.755468,-0.333145,0.419121,,,,,,,,,,,,-10.53343,6.50575,-1.47523,50,5.5459,7.71906,-133.61317,-2.39407,-18.93873,30.24365,-20.47697,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,099afc60-14df-11f0-bb05-4723fefb779e,89.9322,,,8.60277,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,07:21.5,2025-04-08T18:07:21.5154176-07:00,2025-04-09T01:07:21.5154176Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,75bc4e71-c01b-4a53-941e-288957327128,55.26098,-134.79874,15.12182,5.62402,-1.59136,-10.23848,-1.79238,8.46147,-9.46936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/8/25,07:47.4,2,2,"Palencia, Fernando",832124,Right,SAN_TOR,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,,,,0,0,,81.19491,0.23054,-2.231607,2527.923315,77.233055,8:30,5.36852,1.65369,4.95837,-47.37786,-2.73728,-19.0043,1.63835,-2.03955,73.72761,-8.33194,-5.580985,0.48088,,,,,,,,,,,,8.61784,-0.92335,-1.42115,50,5.35224,5.41021,-117.5559,-1.30857,11.85156,25.86845,-33.44388,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,190d7420-14df-11f0-bb05-4723fefb779e,78.38227,,,7.46731,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,07:47.4,2025-04-08T18:07:47.3738752-07:00,2025-04-09T01:07:47.3738752Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,90747c1f-f228-4851-b90b-3278ebfa9b50,55.54277,-118.76934,12.93423,5.37683,0.26022,-16.72194,-1.66189,4.85428,5.92578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/8/25,08:04.5,2,3,"Palencia, Fernando",832124,Right,SAN_TOR,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,,,,0,0,,92.30201,-2.076827,-3.928806,2442.212821,230.341778,1:45,5.53024,1.63571,5.32937,-19.41131,14.62603,16.15942,1.95839,-0.71006,83.31913,-5.717555,-1.066561,0.419903,,,,,,,,,,,,-9.28949,8.32142,-1.29198,50,5.32843,8.39559,-133.44329,-5.52925,-16.56032,31.75735,-17.33948,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,23580940-14df-11f0-bb05-4723fefb779e,89.76458,,,8.98289,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,08:04.5,2025-04-08T18:08:04.4727808-07:00,2025-04-09T01:08:04.4727808Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,22db5d92-3f14-4f4c-9312-d98d8b8f6b73,55.17053,-134.66817,15.87868,5.5288,-4.86046,-8.66974,-1.62812,9.03432,-8.28016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,4/8/25,08:23.7,2,4,"Palencia, Fernando",832124,Right,SAN_TOR,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,1,1,2,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,,,,0,0,,92.6451,-0.943553,-1.414789,2379.471456,233.007002,1:45,5.48614,1.62569,5.24986,-19.94414,13.74379,16.68048,2.93708,1.68593,83.7747,-4.673724,1.543552,0.417742,,,,,,,,,,,,-8.91804,7.5217,-1.50919,50,5.38523,2.54978,-134.32933,-2.93645,-16.10091,32.33094,-18.59416,SAN_TOR,CSD_TRI,UofSanDiego,D1,WCC,20250408-UofSanDiego-1,2ec8cee0-14df-11f0-bb05-4723fefb779e,90.2289,,,8.8704,,,,,,,1305b730-ff57-4a6b-9e49-6b2477779690,4/9/25,08:23.7,2025-04-08T18:08:23.7336576-07:00,2025-04-09T01:08:23.7336576Z,,v3,5320,,,"Lobliner, Jayden",813488,Right,SAN_TOR,3b177252-e3e3-44c4-9fb8-a4248b0ef034,55.2532,-135.5878,16.16547,5.48545,-2.21268,-9.29708,-1.62064,3.17651,-8.05045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
